row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu từ bán hàng và cung cấp dịch vụ,Phải thu từ bán hàng và cung cấp dịch vụ,Phải thu từ bán hàng và cung cấp dịch vụ,115.083.863,71.319.858,115083863.0,71319858.0
- Thaco Agri,- Thaco Agri,- Thaco Agri,67.814.950,-,67814950.0,
"- Zhengzhou Tai Wang Import and Export Trade Co., Ltd","- Zhengzhou Tai Wang Import and Export Trade Co., Ltd","- Zhengzhou Tai Wang Import and Export Trade Co., Ltd",22.065.328,20.986.827,22065328.0,20986827.0
- Các khách hàng khác,- Các khách hàng khác,- Các khách hàng khác,25.203.585,50.333.031,25203585.0,50333031.0
Phải thu từ hoạt động xây dựng sân bay cho Chính phủ Lào,Phải thu từ hoạt động xây dựng sân bay cho Chính phủ Lào,Phải thu từ hoạt động xây dựng sân bay cho Chính phủ Lào,-,205.728.754,,205728754.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,115.083.863,277.048.612,115083863.0,277048612.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(41.631.763),(65.490.646),-41631763.0,-65490646.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,73.452.100,211.557.966,73452100.0,211557966.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu các bên liên quan (TM số 30),Trong đó: > Phải thu các bên liên quan (TM số 30),Phải thu các bên liên quan (TM số 30),67.814.950,69.660,67814950.0,69660.0
Phải thu bên khác,Trong đó: > Phải thu bên khác,Phải thu bên khác,5.637.150,211.488.306,5637150.0,211488306.0
