row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Ngân VND > Năm nay,Ngân VND > Năm trước,numeric__Nội dung nghiệp vụ,numeric__Ngân VND > Năm nay,numeric__Ngân VND > Năm trước
Thaco Agri,Thaco Agri,Thaco Agri,Vay,3.790.420.000,2.515.117.600,,3790420000.0,2515117600.0
Thaco Agri,Thaco Agri,Thaco Agri,Lãi vay,535.779.028,415.243.040,,535779028.0,415243040.0
Thaco Agri,Thaco Agri,Thaco Agri,Cán trừ công nợ,415.995.388,197.569.990,,415995388.0,197569990.0
Thaco Agri,Thaco Agri,Thaco Agri,Mua vật tư,,,,,
Thaco Agri,Thaco Agri > Thaco Agri,Thaco Agri,và hàng hóa,390.733.281,323.664.853,,390733281.0,323664853.0
Thaco Agri,Thaco Agri > Thaco Agri,Thaco Agri,Bán hàng hóa,368.087.462,520.453.067,,368087462.0,520453067.0
Thaco Agri,Thaco Agri > Thaco Agri,Thaco Agri,Trả gốc vay,179.400.000,169.100.000,,179400000.0,169100000.0
HAG,Thaco Agri > HAG,HAG,Trả gốc vay,1.133.930.797,400.000.000,,1133930797.0,400000000.0
HA Andong Meas,Thaco Agri > HA Andong Meas,HA Andong Meas,Bù trừ nợ gốc vay,155.672.709,-,,155672709.0,
HA Andong Meas,Thaco Agri > HA Andong Meas,HA Andong Meas,Cho vay,101.685.126,91.325.857,,101685126.0,91325857.0
HA Andong Meas,Thaco Agri > HA Andong Meas,HA Andong Meas,Thu tiền cho vay,23.072.920,-,,23072920.0,
HA Andong Meas,Thaco Agri > HA Andong Meas,HA Andong Meas,Cán trừ công nợ,8.357.772,-,,8357772.0,
Thaco ID M&E,Thaco Agri > Thaco ID M&E,Thaco ID M&E,Mua vật tư và hàng hóa,276.912.328,56.924.947,,276912328.0,56924947.0
Daun Penh,Thaco Agri > Daun Penh,Daun Penh,Cán trừ công nợ,108.384.057,39.282.368,,108384057.0,39282368.0
Daun Penh,Thaco Agri > Daun Penh,Daun Penh,Bù trừ nợ gốc vay,94.037.261,-,,94037261.0,
Daun Penh,Thaco Agri > Daun Penh,Daun Penh,Cho vay,30.619.371,60.029.142,,30619371.0,60029142.0
Bò Trung Nguyên,Thaco Agri > Bò Trung Nguyên,Bò Trung Nguyên,Mua tài sản,171.904.437,143.818.957,,171904437.0,143818957.0
Cao su Eastern,Thaco Agri > Cao su Eastern,Cao su Eastern,Bù trừ nợ gốc vay,135.057.275,-,,135057275.0,
Cao su Eastern,Thaco Agri > Cao su Eastern,Cao su Eastern,Cho vay,33.380.397,96.946.639,,33380397.0,96946639.0
HA Lymphat,Thaco Agri > HA Lymphat,HA Lymphat,Bù trừ nợ gốc vay,34.485.698,-,,34485698.0,
HA Lymphat,Thaco Agri > HA Lymphat,HA Lymphat,Cho vay,13.453.396,19.852.685,,13453396.0,19852685.0
Bidiphar,Thaco Agri > Bidiphar,Bidiphar,Nhận cổ tức,26.144.558,52.289.115,,26144558.0,52289115.0
Thép Chu Lai,Thaco Agri > Thép Chu Lai,Thép Chu Lai,Mua dịch vụ,14.318.603,-,,14318603.0,
Thadico,Thaco Agri > Thadico,Thadico,Mua hàng hóa,13.026.239,-,,13026239.0,
Thaco Phân phối,Thaco Agri > Thaco Phân phối,Thaco Phân phối,Mua tài sản,8.258.889,18.183.334,,8258889.0,18183334.0
Thilogi,Thaco Agri > Thilogi,Thilogi,Mua dịch vụ,7.937.333,8.879.805,,7937333.0,8879805.0
Thaco Thiết bị Chuyên dụng,Thaco Agri > Thaco Thiết bị Chuyên dụng,Thaco Thiết bị Chuyên dụng,Mua hàng hóa,7.696.009,2.082.220,,7696009.0,2082220.0
Thaco Bao bì,Thaco Agri > Thaco Bao bì,Thaco Bao bì,Mua hàng hóa,4.122.350,46.256.865,,4122350.0,46256865.0
Thaco Nhựa công nghiệp,Thaco Agri > Thaco Nhựa công nghiệp,Thaco Nhựa công nghiệp,Mua hàng hóa,2.522.885,69.135.514,,2522885.0,69135514.0
Cơ khí Chu Lai,Thaco Agri > Cơ khí Chu Lai,Cơ khí Chu Lai,Mua hàng hóa,2.456.809,86.855.036,,2456809.0,86855036.0
Thaco Linh Kiện Nhựa,Thaco Agri > Thaco Linh Kiện Nhựa,Thaco Linh Kiện Nhựa,Mua hàng hóa,2.404.249,-,,2404249.0,
