row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023
Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,527.483.838,2.791.991,75.295.300,605.571.129,527483838.0,2791991.0,75295300.0,605571129.0
Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,-,265.150.710,597.366.587,862.517.297,,265150710.0,597366587.0,862517297.0
Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,3.355.063.357,8.657.948.215,1.743.321.702,13.756.333.274,3355063357.0,8657948215.0,1743321702.0,13756333274.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,339.446.064,-,-,339.446.064,339446064.0,,,339446064.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,3.694.509.421,8.657.948.215,1.743.321.702,14.095.779.338,3694509421.0,8657948215.0,1743321702.0,14095779338.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,
Doanh thu từ khách hàng bên ngoài,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,198.220.839,187.688.135,106.011.276,491.920.250,198220839.0,187688135.0,106011276.0,491920250.0
Chi phí hình thành tài sản cố định,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,-,114.606.182,-,114.606.182,,114606182.0,,114606182.0
Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,2.413.396.930,11.826.785.492,2.117.359.035,16.357.541.457,2413396930.0,11826785492.0,2117359035.0,16357541457.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,337.952.313,-,-,337.952.313,337952313.0,,,337952313.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,2.751.349.243,11.826.785.492,2.117.359.035,16.695.493.770,2751349243.0,11826785492.0,2117359035.0,16695493770.0
