row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,(1.281.621.131),(1.110.412.912),-1281621131.0,-1110412912.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,
Các khoản lỗ của các công ty con,Điều chỉnh cho các khoản: > Các khoản lỗ của các công ty con,Các khoản lỗ của các công ty con,1.424.534.714,1.199.457.607,1424534714.0,1199457607.0
Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,Điều chỉnh cho các khoản: > Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,(70.651.532),(6.667.305),-70651532.0,-6667305.0
Các khoản chi phí không được trừ,Điều chỉnh cho các khoản: > Các khoản chi phí không được trừ,Các khoản chi phí không được trừ,1.165.605.764,12.942.262,1165605764.0,12942262.0
Thay đổi lợi nhuận nội bộ chưa thực hiện,Điều chỉnh cho các khoản: > Thay đổi lợi nhuận nội bộ chưa thực hiện,Thay đổi lợi nhuận nội bộ chưa thực hiện,(23.063.824),(8.529.228),-23063824.0,-8529228.0
Chênh lệch tỷ giá hối đoái,Điều chỉnh cho các khoản: > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(66.253.785),(12.150.123),-66253785.0,-12150123.0
Lãi từ công ty liên kết,Điều chỉnh cho các khoản: > Lãi từ công ty liên kết,Lãi từ công ty liên kết,(24.650.807),(34.923.794),-24650807.0,-34923794.0
Lỗ được chuyển từ các năm trước,Điều chỉnh cho các khoản: > Lỗ được chuyển từ các năm trước,Lỗ được chuyển từ các năm trước,-,(51.155.789),,-51155789.0
Dự phòng các khoản đầu tư,Điều chỉnh cho các khoản: > Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,(1.153.092.663),-,-1153092663.0,
Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,,
132/2020/NĐ-CP (*),Điều chỉnh thuế TNDN theo Nghị định > 132/2020/NĐ-CP (*),132/2020/NĐ-CP (*),20.003.206,-,20003206.0,
Các khoản khác,Điều chỉnh thuế TNDN theo Nghị định > Các khoản khác,Các khoản khác,10.359.523,15.917.252,10359523.0,15917252.0
Thu nhập chịu thuế uốc tính,Điều chỉnh thuế TNDN theo Nghị định > Thu nhập chịu thuế uốc tính,Thu nhập chịu thuế uốc tính,1.169.465,4.477.970,1169465.0,4477970.0
Thuế TNDN hiện hành uốc tính,Điều chỉnh thuế TNDN theo Nghị định > Thuế TNDN hiện hành uốc tính,Thuế TNDN hiện hành uốc tính,165.902,895.594,165902.0,895594.0
Chi phí thuế TNDN hiện hành uốc tính,Điều chỉnh thuế TNDN theo Nghị định > Chi phí thuế TNDN hiện hành uốc tính,Chi phí thuế TNDN hiện hành uốc tính,165.902,895.594,165902.0,895594.0
Thuế TNDN phải nộp đầu năm,Điều chỉnh thuế TNDN theo Nghị định > Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,10.426.679,9.230.386,10426679.0,9230386.0
Thuế TNDN đã trả trong năm,Điều chỉnh thuế TNDN theo Nghị định > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(346.009),-,-346009.0,
Các khoản khác,Điều chỉnh thuế TNDN theo Nghị định > Các khoản khác,Các khoản khác,507.203,300.699,507203.0,300699.0
Thuế TNDN phải nộp cuối năm,Điều chỉnh thuế TNDN theo Nghị định > Thuế TNDN phải nộp cuối năm,Thuế TNDN phải nộp cuối năm,10.753.775,10.426.679,10753775.0,10426679.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thuế TNDN phải trả (TM số 9),Trong đó: > Thuế TNDN phải trả (TM số 9),Thuế TNDN phải trả (TM số 9),11.385.615,10.712.510,11385615.0,10712510.0
Thuế TNDN trả trước (TM số 9),Trong đó: > Thuế TNDN trả trước (TM số 9),Thuế TNDN trả trước (TM số 9),(631.840),(285.831),-631840.0,-285831.0
