row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,5.737.607,6.058.744,11.796.351,5737607.0,6058744.0,11796351.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,294.853,4.047,298.900,294853.0,4047.0,298900.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,6.032.460,6.062.791,12.095.251,6032460.0,6062791.0,12095251.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(2.740.833),(2.740.833),,-2740833.0,-2740833.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(764.057),(764.057),,-764057.0,-764057.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(3.504.890),(3.504.890),,-3504890.0,-3504890.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,5.737.607,3.317.911,9.055.518,5737607.0,3317911.0,9055518.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,6.032.460,2.557.901,8.590.361,6032460.0,2557901.0,8590361.0
