row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả dài hạn khác (TM số 20),Phải trả dài hạn khác (TM số 20),Phải trả dài hạn khác (TM số 20),Phải trả dài hạn khác (TM số 20),Phải trả dài hạn khác (TM số 20),Phải trả dài hạn khác (TM số 20),,,
Cơ khí Chu Lai,Phải trả dài hạn khác (TM số 20) > Cơ khí Chu Lai,Cơ khí Chu Lai,Chi hộ,20.562.546,-,,20562546.0,
Thaco Agri,Phải trả dài hạn khác (TM số 20) > Thaco Agri,Thaco Agri,Chi hộ,1.688.554,1.583.590,,1688554.0,1583590.0
Daun Penh,Phải trả dài hạn khác (TM số 20) > Daun Penh,Daun Penh,Chi hộ,-,8.508.878,,,8508878.0
Khác,Phải trả dài hạn khác (TM số 20) > Khác,Khác,Khác,338.439,356.419,,338439.0,356419.0
TỔNG CỘNG,Phải trả dài hạn khác (TM số 20) > TỔNG CỘNG,TỔNG CỘNG,,22.589.539,10.448.887,,22589539.0,10448887.0
Vay ngắn hạn (TM số 21.2 và TM số 21.3),Vay ngắn hạn (TM số 21.2 và TM số 21.3),Vay ngắn hạn (TM số 21.2 và TM số 21.3),Vay ngắn hạn (TM số 21.2 và TM số 21.3),Vay ngắn hạn (TM số 21.2 và TM số 21.3),Vay ngắn hạn (TM số 21.2 và TM số 21.3),,,
Thaco Agri,Vay ngắn hạn (TM số 21.2 và TM số 21.3) > Thaco Agri,Thaco Agri,Vay,9.064.874.588,3.549.936.981,,9064874588.0,3549936981.0
HAG,Vay ngắn hạn (TM số 21.2 và TM số 21.3) > HAG,HAG,Vay,-,1.117.305.199,,,1117305199.0
TỔNG CỘNG,Vay ngắn hạn (TM số 21.2 và TM số 21.3) > TỔNG CỘNG,TỔNG CỘNG,,9.064.874.588,4.667.242.180,,9064874588.0,4667242180.0
Vay dài hạn (TM số 21.3),Vay dài hạn (TM số 21.3),Vay dài hạn (TM số 21.3),Vay dài hạn (TM số 21.3),Vay dài hạn (TM số 21.3),Vay dài hạn (TM số 21.3),,,
Thaco Agri,Vay dài hạn (TM số 21.3) > Thaco Agri,Thaco Agri,Vay,-,1.904.917.607,,,1904917607.0
