row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),,,
Thaco Agri,Phải trả người bán ngắn hạn (TM số 17) > Thaco Agri,Thaco Agri,Mua vật tư và hàng hóa,454.527.130,12.423.015,,454527130.0,12423015.0
Bò Trung Nguyên,Phải trả người bán ngắn hạn (TM số 17) > Bò Trung Nguyên,Bò Trung Nguyên,Mua tài sản,326.518.324,145.629.572,,326518324.0,145629572.0
Thaco ID M&E,Phải trả người bán ngắn hạn (TM số 17) > Thaco ID M&E,Thaco ID M&E,Mua vật tư và hàng hóa,242.533.795,56.481.675,,242533795.0,56481675.0
Thaco Phân phối,Phải trả người bán ngắn hạn (TM số 17) > Thaco Phân phối,Thaco Phân phối,Mua tài sản,39.257.000,30.365.310,,39257000.0,30365310.0
Thaco Thiết bị Chuyên dụng,Phải trả người bán ngắn hạn (TM số 17) > Thaco Thiết bị Chuyên dụng,Thaco Thiết bị Chuyên dụng,Mua hàng hóa,20.138.680,14.037.714,,20138680.0,14037714.0
Thép Chu Lai,Phải trả người bán ngắn hạn (TM số 17) > Thép Chu Lai,Thép Chu Lai,Mua dịch vụ,14.525.327,132,,14525327.0,132.0
Thadico,Phải trả người bán ngắn hạn (TM số 17) > Thadico,Thadico,Mua hàng hóa,13.289.381,-,,13289381.0,
Thaco Nhựa công nghiệp,Phải trả người bán ngắn hạn (TM số 17) > Thaco Nhựa công nghiệp,Thaco Nhựa công nghiệp,Mua hàng hóa,12.547.561,64.289.740,,12547561.0,64289740.0
Thaco Bao bì,Phải trả người bán ngắn hạn (TM số 17) > Thaco Bao bì,Thaco Bao bì,Mua hàng hóa,7.992.311,52.653.851,,7992311.0,52653851.0
Thilogi Vận tải,Phải trả người bán ngắn hạn (TM số 17) > Thilogi Vận tải,Thilogi Vận tải,Mua dịch vụ,7.267.603,7.344.008,,7267603.0,7344008.0
Thilogi,Phải trả người bán ngắn hạn (TM số 17) > Thilogi,Thilogi,Mua dịch vụ,6.325.242,7.472.677,,6325242.0,7472677.0
Thaco Linh Kiện Nhựa,Phải trả người bán ngắn hạn (TM số 17) > Thaco Linh Kiện Nhựa,Thaco Linh Kiện Nhựa,Mua hàng hóa,4.053.188,1.557.107,,4053188.0,1557107.0
Khác,Phải trả người bán ngắn hạn (TM số 17) > Khác,Khác,Mua hàng hóa và dịch vụ,3.750.170,4.892.187,,3750170.0,4892187.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (TM số 17) > TỔNG CỘNG,TỔNG CỘNG,,1.152.725.712,397.146.988,,1152725712.0,397146988.0
Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),,,
Thaco Agri,Người mua trả tiền trước ngắn hạn (TM số 18) > Thaco Agri,Thaco Agri,Ứng tiền mua trái cây,1.007.830.559,1.511.858.061,,1007830559.0,1511858061.0
Chi phí phải trả ngắn hạn (TM số 19),Chi phí phải trả ngắn hạn (TM số 19),Chi phí phải trả ngắn hạn (TM số 19),Chi phí phải trả ngắn hạn (TM số 19),Chi phí phải trả ngắn hạn (TM số 19),Chi phí phải trả ngắn hạn (TM số 19),,,
Thaco Agri,Chi phí phải trả ngắn hạn (TM số 19) > Thaco Agri,Thaco Agri,Lãi vay,1.106.688.519,571.037.891,,1106688519.0,571037891.0
,,,Mua hàng hóa,131.206,-,,131206.0,
Thilogi,Chi phí phải trả ngắn hạn (TM số 19) > Thilogi,Thilogi,Mua dịch vụ,156.000,-,,156000.0,
HAG,Chi phí phải trả ngắn hạn (TM số 19) > HAG,HAG,Lãi vay,-,10.786.453,,,10786453.0
TỔNG CỘNG,Chi phí phải trả ngắn hạn (TM số 19) > TỔNG CỘNG,TỔNG CỘNG,,1.106.975.725,581.824.344,,1106975725.0,581824344.0
Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),,,
Thaco Agri,Phải trả ngắn hạn khác (TM số 20) > Thaco Agri,Thaco Agri,Cấn trừ công nợ,20.827.778,17.691.076,,20827778.0,17691076.0
Cơ Khí Chu Lai,Phải trả ngắn hạn khác (TM số 20) > Cơ Khí Chu Lai,Cơ Khí Chu Lai,Chỉ hộ,324.216,157.968,,324216.0,157968.0
Khác,Phải trả ngắn hạn khác (TM số 20) > Khác,Khác,Khác,718.171,533.314,,718171.0,533314.0
TỔNG CỘNG,Phải trả ngắn hạn khác (TM số 20) > TỔNG CỘNG,TỔNG CỘNG,,21.870.165,18.382.358,,21870165.0,18382358.0
