row_label_raw,row_label_full,col_0,Năm kết thúc ngày 31/12/2019 VND,Từ 9/10/2018 đến 31/12/2018 VND,numeric__Năm kết thúc ngày 31/12/2019 VND,numeric__Từ 9/10/2018 đến 31/12/2018 VND
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,,
▪ Doanh thu bán hàng,Tổng doanh thu > ▪ Doanh thu bán hàng,▪ Doanh thu bán hàng,16.464.148.701.181,2.520.673.454.696,16464148701181.0,2520673454696.0
▪ Doanh thu cung cấp dịch vụ,Tổng doanh thu > ▪ Doanh thu cung cấp dịch vụ,▪ Doanh thu cung cấp dịch vụ,362.393.012.047,66.150.652.012,362393012047.0,66150652012.0
,,,16.826.541.713.228,2.586.824.106.708,16826541713228.0,2586824106708.0
Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,,
▪ Chiết khấu thương mại,Trừ đi các khoản giảm trừ doanh thu > ▪ Chiết khấu thương mại,▪ Chiết khấu thương mại,2.141.759.817,143.763.426,2141759817.0,143763426.0
▪ Hàng bán bị trả lại,Trừ đi các khoản giảm trừ doanh thu > ▪ Hàng bán bị trả lại,▪ Hàng bán bị trả lại,612.547.620,38.816.373,612547620.0,38816373.0
▪ Giảm giá hàng bán,Trừ đi các khoản giảm trừ doanh thu > ▪ Giảm giá hàng bán,▪ Giảm giá hàng bán,12.558.661.849,113.506.420,12558661849.0,113506420.0
,,,15.312.969.286,296.086.219,15312969286.0,296086219.0
Doanh thu thuần,Trừ đi các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,16.811.228.743.942,2.586.528.020.489,16811228743942.0,2586528020489.0
