row_label_raw,row_label_full,Bên cho vay > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Loại tiền,Thuyết minh,31/12/2019 VND,1/1/2019 VND,numeric__Loại tiền,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND
▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,USD,(ii),282.848.480.000,-,,,282848480000.0,
▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,VND,(ii),40.106.847.265,345.045.529.467,,,40106847265.0,345045529467.0
▪ Khoản vay 3,▪ Khoản vay 3,▪ Khoản vay 3,VND,(i),32.749.391.035,32.750.891.035,,,32749391035.0,32750891035.0
▪ Khoản vay 4,▪ Khoản vay 4,▪ Khoản vay 4,VND,(iv),20.134.263.581,20.384.263.581,,,20134263581.0,20384263581.0
▪ Khoản vay 5,▪ Khoản vay 5,▪ Khoản vay 5,VND,"(ii), (iv)",9.238.106.400,9.046.914.700,,,9238106400.0,9046914700.0
Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Quân đội > ▪ Khoản vay 1,▪ Khoản vay 1,USD,(i),43.661.650.608,93.885.961.942,,,43661650608.0,93885961942.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Quân đội > ▪ Khoản vay 2,▪ Khoản vay 2,VND,(i),24.867.965.541,102.658.646.367,,,24867965541.0,102658646367.0
Công ty Cổ phần Thương mại Địa ốc Việt,Ngân hàng Thương mại Cổ phần Quân đội > Công ty Cổ phần Thương mại Địa ốc Việt,Công ty Cổ phần Thương mại Địa ốc Việt,VND,(i),900.000.000,900.000.000,,,900000000.0,900000000.0
Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,USD,(i),200.690.968.286,672.565.065.945,,,200690968286.0,672565065945.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,USD,(v),139.178.358.000,62.027.560.000,,,139178358000.0,62027560000.0
▪ Khoản vay 3,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh > ▪ Khoản vay 3,▪ Khoản vay 3,VND,(i),20.827.209.300,11.594.659.000,,,20827209300.0,11594659000.0
Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,USD,(i),451.505.669.401,-,,,451505669401.0,
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,VND,(i),14.000.000.000,-,,,14000000000.0,
Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng Thương mại Cổ phần An Bình,,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần An Bình > ▪ Khoản vay 1,▪ Khoản vay 1,VND,(i),87.000.000.000,108.480.200.000,,,87000000000.0,108480200000.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần An Bình > ▪ Khoản vay 2,▪ Khoản vay 2,USD,(i),-,14.653.800.000,,,,14653800000.0
Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn,,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn > ▪ Khoản vay 1,▪ Khoản vay 1,USD,(ii),79.853.580.000,25.946.050.000,,,79853580000.0,25946050000.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn > ▪ Khoản vay 2,▪ Khoản vay 2,VND,(ii),1.960.000.000,-,,,1960000000.0,
Ngân hàng BNP Paribas – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng BNP Paribas – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng BNP Paribas – Chi nhánh Thành phố Hồ Chí Minh,,,,,,,,
▪ Khoản vay 1,Ngân hàng BNP Paribas – Chi nhánh Thành phố Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,VND,(i),95.757.500.000,320.944.824.500,,,95757500000.0,320944824500.0
▪ Khoản vay 2,Ngân hàng BNP Paribas – Chi nhánh Thành phố Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,USD,(i),77.115.679.050,60.059.870.000,,,77115679050.0,60059870000.0
