row_label_raw,row_label_full,col_0,31/12/2019VND,1/1/2019VND(Phân loại lại),numeric__31/12/2019VND,numeric__1/1/2019VND(Phân loại lại)
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,,
Dự án Kho trung tâm Khánh Hưng (*),Xây dựng cơ bản dở dang > Dự án Kho trung tâm Khánh Hưng (*),Dự án Kho trung tâm Khánh Hưng (*),5.457.758.801,5.457.758.801,5457758801.0,5457758801.0
Tiền thuê đất tại Khu Công nghiệp Tân Kim,Xây dựng cơ bản dở dang > Tiền thuê đất tại Khu Công nghiệp Tân Kim,Tiền thuê đất tại Khu Công nghiệp Tân Kim,-,54.571.463.479,,54571463479.0
Dự án đầu tư kho Năng Gù,Xây dựng cơ bản dở dang > Dự án đầu tư kho Năng Gù,Dự án đầu tư kho Năng Gù,1.922.679.720,1.922.679.720,1922679720.0,1922679720.0
"Công trình mở rộng sân phơi, nhà ở công nhân tại Xí nghiệp cá com","Xây dựng cơ bản dở dang > Công trình mở rộng sân phơi, nhà ở công nhân tại Xí nghiệp cá com","Công trình mở rộng sân phơi, nhà ở công nhân tại Xí nghiệp cá com",1.356.388.307,1.356.388.307,1356388307.0,1356388307.0
Các công trình khác,Xây dựng cơ bản dở dang > Các công trình khác,Các công trình khác,6.697.724.648,11.595.567.571,6697724648.0,11595567571.0
,,,15.434.551.476,74.903.857.878,15434551476.0,74903857878.0
Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,,
"Quyền sử dụng đất tại 265 Điện Biên Phù, Phường 7, Quận 3,Thành phố Hồ Chí Minh","Mua sắm tài sản cố định > Quyền sử dụng đất tại 265 Điện Biên Phù, Phường 7, Quận 3,Thành phố Hồ Chí Minh","Quyền sử dụng đất tại 265 Điện Biên Phù, Phường 7, Quận 3,Thành phố Hồ Chí Minh",1.732.029.873,1.732.029.873,1732029873.0,1732029873.0
Chi phí giám định bất động sân kho 1458 Hoài Thanh,Mua sắm tài sản cố định > Chi phí giám định bất động sân kho 1458 Hoài Thanh,Chi phí giám định bất động sân kho 1458 Hoài Thanh,36.363.636,-,36363636.0,
"Quyền sử dụng đất tại 284 – 285 Trần Văn Kiều, Quận 6,Thành phố Hồ Chí Minh","Mua sắm tài sản cố định > Quyền sử dụng đất tại 284 – 285 Trần Văn Kiều, Quận 6,Thành phố Hồ Chí Minh","Quyền sử dụng đất tại 284 – 285 Trần Văn Kiều, Quận 6,Thành phố Hồ Chí Minh",489.090.909,489.090.909,489090909.0,489090909.0
Mua sắm tài sản cố định khác,Mua sắm tài sản cố định > Mua sắm tài sản cố định khác,Mua sắm tài sản cố định khác,633.575.494,-,633575494.0,
,,,2.891.059.912,2.221.120.782,2891059912.0,2221120782.0
,,,18.325.611.388,77.124.978.660,18325611388.0,77124978660.0
