row_label_raw,row_label_full,col_0,Mã Thuyếtsố minh,Năm kết thúcngày 31/12/2019VND,Từ 9/10/2018đến 31/12/2018VND,numeric__Mã Thuyếtsố minh,numeric__Năm kết thúcngày 31/12/2019VND,numeric__Từ 9/10/2018đến 31/12/2018VND
Lỗ thuần sau thuế TNDN(60 = 50 - 51 - 52)(mang sang từ trang trước),Lỗ thuần sau thuế TNDN(60 = 50 - 51 - 52)(mang sang từ trang trước),Lỗ thuần sau thuế TNDN(60 = 50 - 51 - 52)(mang sang từ trang trước),60,(169.533.689.051),(1.488.963.749.907),60.0,-169533689051.0,-1488963749907.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Lỗ sau thuế của Công ty mẹLợi nhuận/(lỗ) sau thuế của cổ đôngkhông kiểm soát,Trong đó: > Lỗ sau thuế của Công ty mẹLợi nhuận/(lỗ) sau thuế của cổ đôngkhông kiểm soát,Lỗ sau thuế của Công ty mẹLợi nhuận/(lỗ) sau thuế của cổ đôngkhông kiểm soát,61,(204.333.295.933),(1.485.856.744.637),61.0,-204333295933.0,-1485856744637.0
Lỗ sau thuế của Công ty mẹLợi nhuận/(lỗ) sau thuế của cổ đôngkhông kiểm soát,Trong đó: > Lỗ sau thuế của Công ty mẹLợi nhuận/(lỗ) sau thuế của cổ đôngkhông kiểm soát,Lỗ sau thuế của Công ty mẹLợi nhuận/(lỗ) sau thuế của cổ đôngkhông kiểm soát,62,34.799.606.882,(3.107.005.270),62.0,34799606882.0,-3107005270.0
Lỗ trên cổ phiếu,Lỗ trên cổ phiếu,Lỗ trên cổ phiếu,Lỗ trên cổ phiếu,Lỗ trên cổ phiếu,Lỗ trên cổ phiếu,,,
Lỗ cơ bản trên cổ phiếu,Lỗ trên cổ phiếu > Lỗ cơ bản trên cổ phiếu,Lỗ cơ bản trên cổ phiếu,70 40,(423),(2.972),,-423.0,-2972.0
