row_label_raw,row_label_full,col_0,31/12/2019 > % sở hữu và % quyền biểu quyết,31/12/2019 > Giá trị ghi số VND,31/12/2019 > Dự phòng VND,1/1/2019 > % sở hữu và % quyền biểu quyết,1/1/2019 > Giá trị ghi số VND,1/1/2019 > Dự phòng VND,numeric__31/12/2019 > % sở hữu và % quyền biểu quyết,numeric__31/12/2019 > Giá trị ghi số VND,numeric__31/12/2019 > Dự phòng VND,numeric__1/1/2019 > % sở hữu và % quyền biểu quyết,numeric__1/1/2019 > Giá trị ghi số VND,numeric__1/1/2019 > Dự phòng VND
Tổng Công ty Cổ phần Đầu tư và Xuất nhập khẩuFoodinco,Tổng Công ty Cổ phần Đầu tư và Xuất nhập khẩuFoodinco,Tổng Công ty Cổ phần Đầu tư và Xuất nhập khẩuFoodinco,"12,27%",27.469.130.000,(9.574.818.870),"12,27%",27.469.130.000,(9.574.818.870),0.12269999999999999,27469130000.0,-9574818870.0,0.12269999999999999,27469130000.0,-9574818870.0
Công ty Cổ phần Lương thực và Bao bì Đồng Tháp,Công ty Cổ phần Lương thực và Bao bì Đồng Tháp,Công ty Cổ phần Lương thực và Bao bì Đồng Tháp,"19,72%",2.138.145.362,(1.846.300.767),"19,72%",2.138.145.362,(1.506.829.185),0.1972,2138145362.0,-1846300767.0,0.1972,2138145362.0,-1506829185.0
Công ty Cổ phần Bột mì Bình An,Công ty Cổ phần Bột mì Bình An,Công ty Cổ phần Bột mì Bình An,"19,92%",23.903.329.999,(23.903.329.999),"19,92%",23.903.329.999,(23.903.329.999),0.19920000000000002,23903329999.0,-23903329999.0,0.19920000000000002,23903329999.0,-23903329999.0
Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,"18,18%",8.099.972.170,(149.738.541),"18,18%",8.099.972.170,(83.841.060),0.1818,8099972170.0,-149738541.0,0.1818,8099972170.0,-83841060.0
Công ty Cổ phần Đầu tư Phát triển Nguyễn Kim,Công ty Cổ phần Đầu tư Phát triển Nguyễn Kim,Công ty Cổ phần Đầu tư Phát triển Nguyễn Kim,"0,02%",1.000.000.000,-,"0,02%",1.000.000.000,-,0.0002,1000000000.0,,0.0002,1000000000.0,
Công ty Cổ phần Đầu tư Phát triển Địa ốcHoàng Long,Công ty Cổ phần Đầu tư Phát triển Địa ốcHoàng Long,Công ty Cổ phần Đầu tư Phát triển Địa ốcHoàng Long,"0,52%",600.000.000,-,"0,52%",600.000.000,-,0.0052,600000000.0,,0.0052,600000000.0,
Công ty TNHH Thương mại Dịch vụ Đồng Thịnh,Công ty TNHH Thương mại Dịch vụ Đồng Thịnh,Công ty TNHH Thương mại Dịch vụ Đồng Thịnh,"15,00%",10.577.034.161,(2.390.250.953),"15,00%",10.577.034.161,(2.507.466.813),0.15,10577034161.0,-2390250953.0,0.15,10577034161.0,-2507466813.0
Tổng Công ty Cổ phần Bia rượu và Nước Giải khátSài Gòn,Tổng Công ty Cổ phần Bia rượu và Nước Giải khátSài Gòn,Tổng Công ty Cổ phần Bia rượu và Nước Giải khátSài Gòn,,14.102.287,-,,14.102.287,-,,14102287.0,,,14102287.0,
Cổ phiếu Công ty Cổ phần Sữa Việt Nam,Cổ phiếu Công ty Cổ phần Sữa Việt Nam,Cổ phiếu Công ty Cổ phần Sữa Việt Nam,,30.077.778,-,,30.077.778,-,,30077778.0,,,30077778.0,
Cổ phiếu Ngân hàng Thương mại Cổ phần Sài GònCông Thương,Cổ phiếu Ngân hàng Thương mại Cổ phần Sài GònCông Thương,Cổ phiếu Ngân hàng Thương mại Cổ phần Sài GònCông Thương,,1.268.317.114,-,,1.268.317.114,(259.813.114),,1268317114.0,,,1268317114.0,-259813114.0
,,,,75.100.108.871,(37.864.439.130),,75.100.108.871,(37.836.099.041),,75100108871.0,-37864439130.0,,75100108871.0,-37836099041.0
