row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phần An Bình – Chi nhánh An Giang,Thuyết minh > (i),Loại tiền > VND,Năm đáo hạn > 2020 – 2022,31/12/2019 VND > 2.837.611.273,1/1/2019 VND(Phân loại lại) > 3.011.519.273,numeric__Thuyết minh > (i),numeric__Loại tiền > VND,numeric__Năm đáo hạn > 2020 – 2022,numeric__31/12/2019 VND > 2.837.611.273,numeric__1/1/2019 VND(Phân loại lại) > 3.011.519.273
Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,,,,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,(ii),VND,2022,2.237.944.270,3.104.245.270,,,2022.0,2237944270.0,3104245270.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,(ii),VND,2021,-,2.250.000.000,,,2021.0,,2250000000.0
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Đồng Tháp,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Đồng Tháp,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Đồng Tháp,,,,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Đồng Tháp > ▪ Khoản vay 1,▪ Khoản vay 1,(i),VND,2020,4.222.661.085,14.582.661.085,,,2020.0,4222661085.0,14582661085.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Đồng Tháp > ▪ Khoản vay 2,▪ Khoản vay 2,(ii),VND,2019,-,1.124.000.000,,,2019.0,,1124000000.0
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,,,,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam > ▪ Khoản vay 1,▪ Khoản vay 1,(ii),VND,2021,7.970.000.000,1.405.000.000,,,2021.0,7970000000.0,1405000000.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam > ▪ Khoản vay 2,▪ Khoản vay 2,(i),VND,2020,-,10.352.314.451,,,2020.0,,10352314451.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,(iii),VND,2020,28.691.425.000,28.691.425.000,,,2020.0,28691425000.0,28691425000.0
Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt – Chi nhánh Vĩnh Long,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam > Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt – Chi nhánh Vĩnh Long,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt – Chi nhánh Vĩnh Long,(ii),VND,2020,2.716.307.798,5.445.479.498,,,2020.0,2716307798.0,5445479498.0
Ngân hàng Thương mại Cổ phần Việt Nam Thương Tín – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam > Ngân hàng Thương mại Cổ phần Việt Nam Thương Tín – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Việt Nam Thương Tín – Chi nhánh Thành phố Hồ Chí Minh,(i),VND,2020,10.000.000.000,20.000.000.000,,,2020.0,10000000000.0,20000000000.0
Quỹ Phát triển Khoa học và Công Nghệ Tinh Bến Tre,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam > Quỹ Phát triển Khoa học và Công Nghệ Tinh Bến Tre,Quỹ Phát triển Khoa học và Công Nghệ Tinh Bến Tre,(i),VND,2021,1.000.000.000,1.500.000.000,,,2021.0,1000000000.0,1500000000.0
Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam > Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,(i),VND,2022,1.946.400.000,2.779.200.000,,,2022.0,1946400000.0,2779200000.0
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,,,,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam > ▪ Khoản vay 1,▪ Khoản vay 1,(i),VND,2020 – 2022,7.148.144.582,-,,,,7148144582.0,
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam > ▪ Khoản vay 2,▪ Khoản vay 2,"(i), (iv)",VND,2020,452.517.758,-,,,2020.0,452517758.0,
,,,,,,69.223.011.766,94.245.844.577,,,,69223011766.0,94245844577.0
,,,,,,(57.262.298.723),(59.748.385.896),,,,-57262298723.0,-59748385896.0
Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 25(a)),Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 25(a)),Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 25(a)),,,,,,,,,,
,,,,,,11.960.713.043,34.497.458.681,,,,11960713043.0,34497458681.0
