row_label_raw,row_label_full,col_0,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_5,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_6,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_5,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_6
,,,Công cụ và dụng cụ VND,Chi phí san lắp mặt bằng VND,Chi phí đất trả trước VND,Đầu tư khu du lịch Long Trị VND,Lợi thế kinh doanh VND,Chi phí trả trước dài hạn khác VND,Tổng VND,,,,,,,
Số dư đầu năm (Phân loại lại),Số dư đầu năm (Phân loại lại),Số dư đầu năm (Phân loại lại),10.837.123.287,58.996.040.946,73.177.645.299,5.947.417.399,54.700.172.008,26.735.874.962,230.394.273.901,10837123287.0,58996040946.0,73177645299.0,5947417399.0,54700172008.0,26735874962.0,230394273901.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,4.692.700.939,-,625.961.329,-,-,9.965.160.415,15.283.822.683,4692700939.0,,625961329.0,,,9965160415.0,15283822683.0
Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,440.389.700,-,57.409.984.160,-,-,-,57.850.373.860,440389700.0,,57409984160.0,,,,57850373860.0
Phân loại lại,Phân loại lại,Phân loại lại,929.613.150,-,-,-,-,(929.613.150),-,929613150.0,,,,,-929613150.0,
Phân loại lại từ tài sản cố địnhvô hình,Phân loại lại từ tài sản cố địnhvô hình,Phân loại lại từ tài sản cố địnhvô hình,-,-,1.645.169.096,-,-,-,1.645.169.096,,,1645169096.0,,,,1645169096.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(7.392.869.833),(2.499.036.076),(3.105.354.169),(148.373.244),(18.591.108.627),(16.042.046.298),(47.778.788.247),-7392869833.0,-2499036076.0,-3105354169.0,-148373244.0,-18591108627.0,-16042046298.0,-47778788247.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,9.506.957.243,56.497.004.870,129.753.405.715,5.799.044.155,36.109.063.381,19.729.375.929,257.394.851.293,9506957243.0,56497004870.0,129753405715.0,5799044155.0,36109063381.0,19729375929.0,257394851293.0
