row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 VND,1/1/2019 VND(Phân loại lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND(Phân loại lại)
Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),200,,4.510.607.255.315,4.854.959.753.985,200.0,,4510607255315.0,4854959753985.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,595.288.863.782,595.776.479.025,210.0,,595288863782.0,595776479025.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,211,6,594.765.197.248,595.149.412.491,211.0,6.0,594765197248.0,595149412491.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,8(b),523.666.534,627.066.534,216.0,,523666534.0,627066534.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,3.406.455.002.838,3.716.439.011.761,220.0,,3406455002838.0,3716439011761.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,14,2.596.664.930.035,2.900.374.185.227,221.0,14.0,2596664930035.0,2900374185227.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,6.209.172.842.999,6.202.196.601.209,222.0,,6209172842999.0,6202196601209.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(3.612.507.912.964),(3.301.822.415.982),223.0,,-3612507912964.0,-3301822415982.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,15,809.790.072.803,816.064.826.534,227.0,15.0,809790072803.0,816064826534.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,852.882.820.647,854.673.296.162,228.0,,852882820647.0,854673296162.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(43.092.747.844),(38.608.469.628),229.0,,-43092747844.0,-38608469628.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,16,22.460.228.921,23.323.940.367,230.0,16.0,22460228921.0,23323940367.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,49.576.252.218,49.576.252.218,231.0,,49576252218.0,49576252218.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(27.116.023.297),(26.252.311.851),232.0,,-27116023297.0,-26252311851.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,22.735.972.355,82.146.089.587,240.0,,22735972355.0,82146089587.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,18(a),4.410.360.967,5.021.110.927,241.0,,4410360967.0,5021110927.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,242,18(b),18.325.611.388,77.124.978.660,242.0,,18325611388.0,77124978660.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,204.939.485.246,203.551.011.102,250.0,,204939485246.0,203551011102.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,5(c),28.771.200.000,28.771.200.000,251.0,,28771200000.0,28771200000.0
"Đầu tư vào các công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Đầu tư vào các công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Đầu tư vào các công ty liên kết, cơ sở kinh doanh đồng kiểm soát",252,5(d),168.061.540.301,210.519.726.068,252.0,,168061540301.0,210519726068.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,253,5(e),75.100.108.871,75.100.108.871,253.0,,75100108871.0,75100108871.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,,(67.073.363.926),(110.920.023.837),254.0,,-67073363926.0,-110920023837.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,255,6(b),80.000.000,80.000.000,255.0,,80000000.0,80000000.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,258.727.702.173,233.723.222.143,260.0,,258727702173.0,233723222143.0
Chỉ phí trả trước dài hạn,Chỉ phí trả trước dài hạn,Chỉ phí trả trước dài hạn,261,12(b),257.394.851.293,230.394.273.901,261.0,,257394851293.0,230394273901.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,19(a),1.332.850.880,3.328.948.242,262.0,,1332850880.0,3328948242.0
TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),270,,7.415.991.117.607,8.891.510.944.561,270.0,,7415991117607.0,8891510944561.0
