row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2019,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2019_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2019,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2019_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2019_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2019,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2019_1
% quyền sở hữu,% quyền sở hữu,% quyền sở hữu,% quyền biểu quyết,% quyền sở hữu,% quyền biểu quyết,,,
"30,72%","% quyền sở hữu > 30,72%","30,72%","30,72%","30,72%","30,72%",0.3072,0.3072,0.3072
"40,00%","% quyền sở hữu > 40,00%","40,00%","40,00%","40,00%","40,00%",0.4,0.4,0.4
"30,00%","% quyền sở hữu > 30,00%","30,00%","30,00%","30,00%","30,00%",0.3,0.3,0.3
"37,00%","% quyền sở hữu > 37,00%","37,00%","37,00%","37,00%","37,00%",0.37,0.37,0.37
"20,52%","% quyền sở hữu > 20,52%","20,52%","20,52%","20,52%","20,52%",0.2052,0.2052,0.2052
-,% quyền sở hữu > -,-,-,"45,00%","45,00%",,0.45,0.45
"60,00%","% quyền sở hữu > 60,00%","60,00%","60,00%","60,00%","60,00%",0.6,0.6,0.6
"20,62%","% quyền sở hữu > 20,62%","20,62%","20,62%","20,62%","20,62%",0.20620000000000002,0.20620000000000002,0.20620000000000002
"23,91%","% quyền sở hữu > 23,91%","23,91%","40,00%","23,91%","40,00%",0.4,0.2391,0.4
