row_label_raw,row_label_full,col_0,31/12/2019VND,1/1/2019VND(Phân loại lại),numeric__31/12/2019VND,numeric__1/1/2019VND(Phân loại lại)
Lãi vay ngân hàng,Lãi vay ngân hàng,Lãi vay ngân hàng,86.991.999.773,52.829.504.722,86991999773.0,52829504722.0
Phải trả khoản tạm giữ tại kho bạc nhà nước (*),Phải trả khoản tạm giữ tại kho bạc nhà nước (*),Phải trả khoản tạm giữ tại kho bạc nhà nước (*),27.877.394.336,27.877.394.336,27877394336.0,27877394336.0
Phải trả Nhà nước về khoản tiền lãi do chậm nộp tiền cổ phần hóa,Phải trả Nhà nước về khoản tiền lãi do chậm nộp tiền cổ phần hóa,Phải trả Nhà nước về khoản tiền lãi do chậm nộp tiền cổ phần hóa,22.079.961.265,22.079.961.265,22079961265.0,22079961265.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",10.487.310.463,10.205.842.000,10487310463.0,10205842000.0
"Phải trả kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp","Phải trả kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp","Phải trả kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp",9.551.941.434,7.525.610.475,9551941434.0,7525610475.0
"Phải trả tiền chiết khấu bán hàng, hỗ trợ vận chuyển","Phải trả tiền chiết khấu bán hàng, hỗ trợ vận chuyển","Phải trả tiền chiết khấu bán hàng, hỗ trợ vận chuyển",7.824.685.298,9.164.454.119,7824685298.0,9164454119.0
Phải trả Bộ Tài chính tiền cấp kinh phí xây dựng cơ bản,Phải trả Bộ Tài chính tiền cấp kinh phí xây dựng cơ bản,Phải trả Bộ Tài chính tiền cấp kinh phí xây dựng cơ bản,7.553.170.410,7.553.170.410,7553170410.0,7553170410.0
Phải trả về cổ phần hóa,Phải trả về cổ phần hóa,Phải trả về cổ phần hóa,6.245.978.784,6.244.103.343,6245978784.0,6244103343.0
Phải trả Nhà nước về thu hồi công nợ theo dõi ngoài bảng,Phải trả Nhà nước về thu hồi công nợ theo dõi ngoài bảng,Phải trả Nhà nước về thu hồi công nợ theo dõi ngoài bảng,4.165.102.363,-,4165102363.0,
Phải trả Bộ tài chính các khoản thu từ xử lý nhà đất,Phải trả Bộ tài chính các khoản thu từ xử lý nhà đất,Phải trả Bộ tài chính các khoản thu từ xử lý nhà đất,1.816.924.609,1.545.178.094,1816924609.0,1545178094.0
Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,9.999.756.372,17.660.872.352,9999756372.0,17660872352.0
,,,194.594.225.107,162.686.091.116,194594225107.0,162686091116.0
