row_label_raw,row_label_full,col_0,Mã số,1/1/2019 VND(Phân loại lại),Phân loại lại VND,1/1/2019 VND(Theo báo cáo trước đây),numeric__Mã số,numeric__1/1/2019 VND(Phân loại lại),numeric__Phân loại lại VND,numeric__1/1/2019 VND(Theo báo cáo trước đây)
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,627.066.534,(8.055.693.514),8.682.760.048,216.0,627066534.0,-8055693514.0,8682760048.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,230.394.273.901,8.055.693.514,222.338.580.387,261.0,230394273901.0,8055693514.0,222338580387.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,162.686.091.116,(39.584.880.000),202.270.971.116,319.0,162686091116.0,-39584880000.0,202270971116.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,320,3.294.006.079.584,(2.989.655.306),3.296.995.734.890,320.0,3294006079584.0,-2989655306.0,3296995734890.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,1.205.037.116.816,39.584.880.000,1.165.452.236.816,337.0,1205037116816.0,39584880000.0,1165452236816.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,338,34.497.458.681,2.989.655.306,31.507.803.375,338.0,34497458681.0,2989655306.0,31507803375.0
