row_label_raw,row_label_full,col_0,Mã Thuyết số minh,Mã Thuyết số minh_1,Năm kết thúc ngày 31/12/2019 VND,Từ 9/10/2018 đến 31/12/2018 VND,numeric__Mã Thuyết số minh,numeric__Mã Thuyết số minh_1,numeric__Năm kết thúc ngày 31/12/2019 VND,numeric__Từ 9/10/2018 đến 31/12/2018 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,30,16.826.541.713.228,2.586.824.106.708,1.0,30.0,16826541713228.0,2586824106708.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,30,15.312.969.286,296.086.219,2.0,30.0,15312969286.0,296086219.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,30,16.811.228.743.942,2.586.528.020.489,10.0,30.0,16811228743942.0,2586528020489.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,31,15.338.254.874.346,2.446.162.527.921,11.0,31.0,15338254874346.0,2446162527921.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,1.472.973.869.596,140.365.492.568,20.0,,1472973869596.0,140365492568.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,32,57.330.143.421,10.816.488.462,21.0,32.0,57330143421.0,10816488462.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,33,222.267.434.148,156.171.114.919,22.0,33.0,222267434148.0,156171114919.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,176.673.267.377,35.723.319.457,23.0,,176673267377.0,35723319457.0
Phần lãi từ công ty liên kết,Phần lãi từ công ty liên kết,Phần lãi từ công ty liên kết,24,,8.979.871.252,2.444.942.762,24.0,,8979871252.0,2444942762.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,34,1.100.857.189.436,106.230.007.511,25.0,34.0,1100857189436.0,106230007511.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,35,397.709.214.888,1.288.635.992.705,26.0,35.0,397709214888.0,1288635992705.0
Lỗ thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lỗ thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lỗ thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,(181.549.954.203),(1.397.410.191.343),30.0,,-181549954203.0,-1397410191343.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,36,96.223.552.242,17.854.919.706,31.0,36.0,96223552242.0,17854919706.0
Chi phí khác,Chi phí khác,Chi phí khác,32,37,58.075.399.162,14.562.784.489,32.0,37.0,58075399162.0,14562784489.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,38.148.153.080,3.292.135.217,40.0,,38148153080.0,3292135217.0
Lỗ kế toán trước thuế (50 = 30 + 40),Lỗ kế toán trước thuế (50 = 30 + 40),Lỗ kế toán trước thuế (50 = 30 + 40),50,,(143.401.801.123),(1.394.118.056.126),50.0,,-143401801123.0,-1394118056126.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,39,20.851.847.855,7.748.163.605,51.0,39.0,20851847855.0,7748163605.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,39,5.280.040.073,87.097.530.176,52.0,39.0,5280040073.0,87097530176.0
Lỗ thuần sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lỗ thuần sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lỗ thuần sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),60,,(169.533.689.051),(1.488.963.749.907),60.0,,-169533689051.0,-1488963749907.0
