row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tài sãnkhácVND,TổngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sãnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,843.345.972.071,10.147.305.826,1.180.018.265,854.673.296.162,843345972071.0,10147305826.0,1180018265.0,854673296162.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,185.945.344,185.945.344,,,185945344.0,185945344.0
Phân loại sang chi phí trả trước dài hạn,Nguyên giá > Phân loại sang chi phí trả trước dài hạn,Phân loại sang chi phí trả trước dài hạn,(1.976.420.859),-,-,(1.976.420.859),-1976420859.0,,,-1976420859.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(9.360.874.573),-,9.360.874.573,-,-9360874573.0,,9360874573.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,832.008.676.639,10.147.305.826,10.726.838.182,852.882.820.647,832008676639.0,10147305826.0,10726838182.0,852882820647.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,28.001.594.375,9.535.698.119,1.071.177.134,38.608.469.628,28001594375.0,9535698119.0,1071177134.0,38608469628.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,4.166.738.592,303.546.155,305.717.687,4.776.002.434,4166738592.0,303546155.0,305717687.0,4776002434.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,39.527.545,39.527.545,,,39527545.0,39527545.0
Phân loại sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Phân loại sang chi phí trả trước dài hạn,Phân loại sang chi phí trả trước dài hạn,(331.251.763),-,-,(331.251.763),-331251763.0,,,-331251763.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(7.405.467.311),(120.485.183),7.525.952.494,-,-7405467311.0,-120485183.0,7525952494.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,24.431.613.893,9.718.759.091,8.942.374.860,43.092.747.844,24431613893.0,9718759091.0,8942374860.0,43092747844.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,815.344.377.696,611.607.707,108.841.131,816.064.826.534,815344377696.0,611607707.0,108841131.0,816064826534.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,807.577.062.746,428.546.735,1.784.463.322,809.790.072.803,807577062746.0,428546735.0,1784463322.0,809790072803.0
