row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày 31/12/2019 VND,Từ 9/10/2018 đến 31/12/2018 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày 31/12/2019 VND,numeric__Từ 9/10/2018 đến 31/12/2018 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lỗ kế toán trước thuế Điều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ kế toán trước thuế Điều chỉnh cho các khoản,Lỗ kế toán trước thuế Điều chỉnh cho các khoản,01,,(143.401.801.123),(1.394.118.056.126),1.0,,-143401801123.0,-1394118056126.0
Khấu hao và phân bổ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,351.358.989.596,68.553.576.593,2.0,,351358989596.0,68553576593.0
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,(4.580.475.225),1.358.727.133.730,3.0,,-4580475225.0,1358727133730.0
Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiến tệ có gốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiến tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiến tệ có gốc ngoại tệ,04,,1.396.272.095,1.275.713.494,4.0,,1396272095.0,1275713494.0
"Lãi từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang (Lãi)/lỗ từ cổ tức, lãi tiền gửi và hoạt động đầu tư khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang (Lãi)/lỗ từ cổ tức, lãi tiền gửi và hoạt động đầu tư khác","Lãi từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang (Lãi)/lỗ từ cổ tức, lãi tiền gửi và hoạt động đầu tư khác",05,,(26.206.836.342),(518.406.089),5.0,,-26206836342.0,-518406089.0
"Lãi từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang (Lãi)/lỗ từ cổ tức, lãi tiền gửi và hoạt động đầu tư khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang (Lãi)/lỗ từ cổ tức, lãi tiền gửi và hoạt động đầu tư khác","Lãi từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang (Lãi)/lỗ từ cổ tức, lãi tiền gửi và hoạt động đầu tư khác",05,,(3.946.818.712),1.416.127.378,5.0,,-3946818712.0,1416127378.0
Phần lãi từ công ty liên kết,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Phần lãi từ công ty liên kết,Phần lãi từ công ty liên kết,05,,(8.979.871.252),(2.444.942.762),5.0,,-8979871252.0,-2444942762.0
Chi phí lãi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,,176.673.267.377,35.723.319.457,6.0,,176673267377.0,35723319457.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,342.312.726.414,68.614.465.675,8.0,,342312726414.0,68614465675.0
Biến động các khoản phải thu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu,Biến động các khoản phải thu,09,,(480.011.796.328),528.976.537.651,9.0,,-480011796328.0,528976537651.0
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,1.577.917.885.366,189.956.758.666,10.0,,1577917885366.0,189956758666.0
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,(265.323.323.170),143.648.027.137,11.0,,-265323323170.0,143648027137.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,189.989.371.768,(146.609.016.834),12.0,,189989371768.0,-146609016834.0
,,,,,1.364.884.864.050,784.586.772.295,,,1364884864050.0,784586772295.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(141.880.343.534),(61.887.906.883),14.0,,-141880343534.0,-61887906883.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,13(b),(18.472.670.350),(3.586.948.642),15.0,,-18472670350.0,-3586948642.0
Tiền thu khác từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,-,12.078.590.445,16.0,,,12078590445.0
Tiền chi khác cho hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(1.329.378.470),(753.532.227),17.0,,-1329378470.0,-753532227.0
