row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,Tài sản cố địnhkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__Tài sản cố địnhkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.448.801.355.094,2.346.765.630.960,307.710.765.502,62.900.436.590,36.018.413.063,6.202.196.601.209,3448801355094.0,2346765630960.0,307710765502.0,62900436590.0,36018413063.0,6202196601209.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.582.077.564,19.566.250.477,5.169.493.616,230.608.182,777.259.999,30.325.689.838,4582077564.0,19566250477.0,5169493616.0,230608182.0,777259999.0,30325689838.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,8.862.674.194,4.561.561.103,-,445.251.250,-,13.869.486.547,8862674194.0,4561561103.0,,445251250.0,,13869486547.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(31.528.317.886),(1.362.001.238),(2.163.252.954),(177.319.700),(137.675.000),(35.368.566.778),-31528317886.0,-1362001238.0,-2163252954.0,-177319700.0,-137675000.0,-35368566778.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,362.677.305,111.049.222,1.112.377.975,(1.586.104.502),-,-,362677305.0,111049222.0,1112377975.0,-1586104502.0,,
Chuyển sang tài sản cố định vô hình,Nguyên giá > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,(185.945.344),-,-,-,-,(185.945.344),-185945344.0,,,,,-185945344.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(1.579.702.473),(84.720.000),-,-,-,(1.664.422.473),-1579702473.0,-84720000.0,,,,-1664422473.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.429.314.818.454,2.369.557.770.524,311.829.384.139,61.812.871.820,36.657.998.062,6.209.172.842.999,3429314818454.0,2369557770524.0,311829384139.0,61812871820.0,36657998062.0,6209172842999.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.728.952.807.058,1.300.625.443.618,195.672.005.464,47.360.353.261,29.211.806.581,3.301.822.415.982,1728952807058.0,1300625443618.0,195672005464.0,47360353261.0,29211806581.0,3301822415982.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158.837.017.386,156.022.715.132,25.313.987.378,4.446.096.351,1.099.459.469,345.719.275.716,158837017386.0,156022715132.0,25313987378.0,4446096351.0,1099459469.0,345719275716.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(30.373.729.236),(1.070.348.102),(1.875.001.489),(173.435.820),(137.675.000),(33.630.189.647),-30373729236.0,-1070348102.0,-1875001489.0,-173435820.0,-137675000.0,-33630189647.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,147.977.122,418.348.995,373.511.662,(939.837.779),-,-,147977122.0,418348995.0,373511662.0,-939837779.0,,
Chuyển sang tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,(39.527.545),-,-,-,-,(39.527.545),-39527545.0,,,,,-39527545.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(1.305.249.670),(58.811.872),-,-,-,(1.364.061.542),-1305249670.0,-58811872.0,,,,-1364061542.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.856.219.295.115,1.455.937.347.771,219.484.503.015,50.693.176.013,30.173.591.050,3.612.507.912.964,1856219295115.0,1455937347771.0,219484503015.0,50693176013.0,30173591050.0,3612507912964.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.719.848.548.036,1.046.140.187.342,112.038.760.038,15.540.083.329,6.806.606.482,2.900.374.185.227,1719848548036.0,1046140187342.0,112038760038.0,15540083329.0,6806606482.0,2900374185227.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.573.095.523.339,913.620.422.753,92.344.881.124,11.119.695.807,6.484.407.012,2.596.664.930.035,1573095523339.0,913620422753.0,92344881124.0,11119695807.0,6484407012.0,2596664930035.0
