row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư cổ phần VND,Vốn khác của chủ sở hữu (*) VND,Chênh lệch đánh giá lại tài sản (**) VND,Chênh lệch tỷ giá VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu (***) VND,Lỗ lũy kế VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư cổ phần VND,numeric__Vốn khác của chủ sở hữu (*) VND,numeric__Chênh lệch đánh giá lại tài sản (**) VND,numeric__Chênh lệch tỷ giá VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu (***) VND,numeric__Lỗ lũy kế VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,5.000.000.000.000,2.890.195.478,452.222.999,(215.070.235.809),-,85.866.483.306,231.825.797.290,(1.965.505.677.213),199.204.546.109,3.339.663.332.160,5000000000000.0,2890195478.0,452222999.0,-215070235809.0,,85866483306.0,231825797290.0,-1965505677213.0,199204546109.0,3339663332160.0
(Lỗ thuần)/lợi nhuận thuần trong năm,(Lỗ thuần)/lợi nhuận thuần trong năm,(Lỗ thuần)/lợi nhuận thuần trong năm,-,-,-,-,-,-,-,(204.333.295.933),34.799.606.882,(169.533.689.051),,,,,,,,-204333295933.0,34799606882.0,-169533689051.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,5.658.028.544,-,(3.194.905.467),(2.463.123.077),-,,,,,,5658028544.0,,-3194905467.0,-2463123077.0,
Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty (Thuyết minh 26),Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty (Thuyết minh 26),Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty (Thuyết minh 26),-,-,-,-,-,-,-,(5.807.437.364),(4.955.343.267),(10.762.780.631),,,,,,,,-5807437364.0,-4955343267.0,-10762780631.0
Trích quỹ khen thưởng và phúc lợi của công ty liên kết,Trích quỹ khen thưởng và phúc lợi của công ty liên kết,Trích quỹ khen thưởng và phúc lợi của công ty liên kết,-,-,-,-,-,-,-,(1.404.862.573),-,(1.404.862.573),,,,,,,,-1404862573.0,,-1404862573.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,-,-,(18.433.116.314),(18.433.116.314),,,,,,,,,-18433116314.0,-18433116314.0
Chi thù lao Hội đồng Quản trị của Nhóm Công ty,Chi thù lao Hội đồng Quản trị của Nhóm Công ty,Chi thù lao Hội đồng Quản trị của Nhóm Công ty,-,-,-,-,-,-,-,(131.218.938),(57.181.062),(188.400.000),,,,,,,,-131218938.0,-57181062.0,-188400000.0
Chi thù lao Hội đồng Quản trị của công ty liên kết,Chi thù lao Hội đồng Quản trị của công ty liên kết,Chi thù lao Hội đồng Quản trị của công ty liên kết,,,-,-,-,-,-,(92.546.946),-,(92.546.946),,,,,,,,-92546946.0,,-92546946.0
Trích làm hoạt động từ thiện,Trích làm hoạt động từ thiện,Trích làm hoạt động từ thiện,-,-,-,-,-,-,-,(272.503.166),(227.496.834),(500.000.000),,,,,,,,-272503166.0,-227496834.0,-500000000.0
Trích quỹ ban quản lý,Trích quỹ ban quản lý,Trích quỹ ban quản lý,-,-,-,-,-,-,-,(220.320.000),(211.680.000),(432.000.000),,,,,,,,-220320000.0,-211680000.0,-432000000.0
Trích quỹ hỗ trợ địa phương của công ty liên kết,Trích quỹ hỗ trợ địa phương của công ty liên kết,Trích quỹ hỗ trợ địa phương của công ty liên kết,-,-,-,-,-,-,-,(122.880.000),-,(122.880.000),,,,,,,,-122880000.0,,-122880000.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,6.448.476,-,6.448.476,,,,,,,,6448476.0,,6448476.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,5.000.000.000.000,2.890.195.478,452.222.999,(215.070.235.809),-,91.524.511.850,231.825.797.290,(2.181.079.199.124),207.656.212.437,3.138.199.505.121,5000000000000.0,2890195478.0,452222999.0,-215070235809.0,,91524511850.0,231825797290.0,-2181079199124.0,207656212437.0,3138199505121.0
