row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,4.006.295.939.181,4.139.476.155.259,4006295939181.0,4139476155259.0
Ảnh hưởng của hợp nhất báo cáo tài chính,Ảnh hưởng của hợp nhất báo cáo tài chính,Ảnh hưởng của hợp nhất báo cáo tài chính,1.072.015.796,185.300.034,1072015796.0,185300034.0
Lợi nhuận thuần trước thuế trước điều chỉnh do hợp nhất báo cáo tài chính,Lợi nhuận thuần trước thuế trước điều chỉnh do hợp nhất báo cáo tài chính,Lợi nhuận thuần trước thuế trước điều chỉnh do hợp nhất báo cáo tài chính,4.007.367.954.977,4.139.661.455.293,4007367954977.0,4139661455293.0
Cộng/(trừ):,Cộng/(trừ):,Cộng/(trừ):,Cộng/(trừ):,Cộng/(trừ):,,
- Chi phí không được khấu trừ,Cộng/(trừ): > - Chi phí không được khấu trừ,- Chi phí không được khấu trừ,121.346.681.075,39.231.518.638,121346681075.0,39231518638.0
- Doanh thu không tính thuế,Cộng/(trừ): > - Doanh thu không tính thuế,- Doanh thu không tính thuế,(1.072.015.796),-,-1072015796.0,
- Các khoản điều chỉnh khác,Cộng/(trừ): > - Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,-,(5.609.360),,-5609360.0
Thu nhập chịu thuế vớc tính trong năm,Cộng/(trừ): > Thu nhập chịu thuế vớc tính trong năm,Thu nhập chịu thuế vớc tính trong năm,4.127.642.620.256,4.178.887.364.571,4127642620256.0,4178887364571.0
Chi phí thuế TNDN theo thuế suất hiện hành,Cộng/(trừ): > Chi phí thuế TNDN theo thuế suất hiện hành,Chi phí thuế TNDN theo thuế suất hiện hành,825.528.524.051,835.777.472.914,825528524051.0,835777472914.0
Số lỗ tính thuế công ty con chưa sử dụng,Cộng/(trừ): > Số lỗ tính thuế công ty con chưa sử dụng,Số lỗ tính thuế công ty con chưa sử dụng,-,(9.099.678),,-9099678.0
Điều chỉnh thuế TNDN năm trước,Cộng/(trừ): > Điều chỉnh thuế TNDN năm trước,Điều chỉnh thuế TNDN năm trước,7.344.188.362,405.081.407,7344188362.0,405081407.0
Chi phí thuế TNDN hiện hành trong năm,Cộng/(trừ): > Chi phí thuế TNDN hiện hành trong năm,Chi phí thuế TNDN hiện hành trong năm,832.872.712.413,836.173.454.643,832872712413.0,836173454643.0
