row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,,3.469.535.552.139,94.394.453.562,,3469535552139.0,94394453562.0
"Tiền gửi và vay Chính phủ, NHNN","NỘ PHẢI TRẢ > Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN",15,3.469.535.552.139,94.394.453.562,15.0,3469535552139.0,94394453562.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,45.008.281.205.498,31.039.865.195.767,,45008281205498.0,31039865195767.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,16.1,43.798.252.294.422,27.227.630.888.883,161.0,43798252294422.0,27227630888883.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,16.2,1.210.028.911.076,3.812.234.306.884,162.0,1210028911076.0,3812234306884.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,17,142.459.763.487.912,125.945.932.418.559,17.0,142459763487912.0,125945932418559.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",18,5.942.083.509.395,4.358.195.253.813,18.0,5942083509395.0,4358195253813.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,356.262.657.844,-,8.0,356262657844.0,
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,19,44.010.712.500.000,37.808.325.000.000,19.0,44010712500000.0,37808325000000.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,7.794.687.323.975,12.331.858.934.888,,7794687323975.0,12331858934888.0
"Các khoản lái, phí phải trả","NỘ PHẢI TRẢ > Các khoản lái, phí phải trả","Các khoản lái, phí phải trả",20,2.654.975.316.203,4.694.175.199.277,20.0,2654975316203.0,4694175199277.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,21,5.138.717.496.480,7.637.683.735.611,21.0,5138717496480.0,7637683735611.0
Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ăn và cam kết ngoại bằng),NỘ PHẢI TRẢ > Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ăn và cam kết ngoại bằng),Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ăn và cam kết ngoại bằng),,994.511.292,-,,994511292.0,
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,249.041.326.236.763,211.578.571.256.589,,249041326236763.0,211578571256589.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn của TCTD,VỐN CHỦ SỞ HỮU > Vốn của TCTD,Vốn của TCTD,,24.711.163.507.348,20.601.514.927.348,,24711163507348.0,20601514927348.0
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,23.2,24.657.891.520.000,20.548.242.940.000,232.0,24657891520000.0,20548242940000.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,23.1,53.271.987.348,53.271.987.348,231.0,53271987348.0,53271987348.0
Quỹ của TCTD,VỐN CHỦ SỞ HỮU > Quỹ của TCTD,Quỹ của TCTD,23.3,3.223.626.131.166,2.588.756.524.494,233.0,3223626131166.0,2588756524494.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,3.736.255.794.810,5.345.432.019.028,,3736255794810.0,5345432019028.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,23,31.671.045.433.324,28.535.703.470.870,23.0,31671045433324.0,28535703470870.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,280.712.371.670.087,240.114.274.727.459,,280712371670087.0,240114274727459.0
