row_label_raw,row_label_full,col_0,Notes,Ending balance VND,Beginning balance VND,numeric__Notes,numeric__Ending balance VND,numeric__Beginning balance VND
LIABILITIES,LIABILITIES,LIABILITIES,LIABILITIES,LIABILITIES,LIABILITIES,,,
Amounts due to the Government and the State Bank,Amounts due to the Government and the State Bank,Amounts due to the Government and the State Bank,,"3,469,535,552,139","94,394,453,562",,,
"Deposits and borrowings from the Government, the State Bank","Amounts due to the Government and the State Bank > Deposits and borrowings from the Government, the State Bank","Deposits and borrowings from the Government, the State Bank",15,"3,469,535,552,139","94,394,453,562",15.0,,
Deposits and borrowings from other credit institutions,Deposits and borrowings from other credit institutions,Deposits and borrowings from other credit institutions,,"45,008,281,205,498","31,039,865,195,767",,,
Deposits from other credit institutions,Deposits and borrowings from other credit institutions > Deposits from other credit institutions,Deposits from other credit institutions,16.1,"43,798,252,294,422","27,227,630,888,883",161.0,,
Borrowings from other credit institutions,Deposits and borrowings from other credit institutions > Borrowings from other credit institutions,Borrowings from other credit institutions,16.2,"1,210,028,911,076","3,812,234,306,884",162.0,,
Customer deposits,Deposits and borrowings from other credit institutions > Customer deposits,Customer deposits,17,"142,459,763,487,912","125,945,932,418,559",17.0,,
Other borrowed and entrusted funds,Deposits and borrowings from other credit institutions > Other borrowed and entrusted funds,Other borrowed and entrusted funds,18,"5,942,083,509,395","4,358,195,253,813",18.0,,
Derivatives instruments and other financial liabilities,Deposits and borrowings from other credit institutions > Derivatives instruments and other financial liabilities,Derivatives instruments and other financial liabilities,8,"356,262,657,844",-,8.0,,
Valuable papers issued,Deposits and borrowings from other credit institutions > Valuable papers issued,Valuable papers issued,19,"44,010,712,500,000","37,808,325,000,000",19.0,,
Other liabilities,Other liabilities,Other liabilities,,"7,794,687,323,975","12,331,858,934,888",,,
Interest and fee payable,Other liabilities > Interest and fee payable,Interest and fee payable,20,"2,654,975,316,203","4,694,175,199,277",20.0,,
Other payables,Other liabilities > Other payables,Other payables,21,"5,138,717,496,480","7,637,683,735,611",21.0,,
Provision for other liabilities,Provision for other liabilities,Provision for other liabilities,,"994,511,292",-,,,
TOTAL LIABILITIES,TOTAL LIABILITIES,TOTAL LIABILITIES,,"249,041,326,236,763","211,578,571,256,589",,,
OWNERS' EQUITY,OWNERS' EQUITY,OWNERS' EQUITY,OWNERS' EQUITY,OWNERS' EQUITY,OWNERS' EQUITY,,,
Capital,Capital,Capital,,"24,711,163,507,348","20,601,514,927,348",,,
Charter capital,Capital > Charter capital,Charter capital,23.2,"24,657,891,520,000","20,548,242,940,000",232.0,,
Share premium,Capital > Share premium,Share premium,23.1,"53,271,987,348","53,271,987,348",231.0,,
Reserves,Capital > Reserves,Reserves,23.3,"3,223,626,131,166","2,588,756,524,494",233.0,,
Undistributed profits,Undistributed profits,Undistributed profits,,"3,736,255,794,810","5,345,432,019,028",,,
TOTAL OWNERS' EQUITY,Undistributed profits > TOTAL OWNERS' EQUITY,TOTAL OWNERS' EQUITY,23,"31,671,045,433,324","28,535,703,470,870",23.0,,
TOTAL LIABILITIES AND OWNERS' EQUITY,TOTAL LIABILITIES AND OWNERS' EQUITY,TOTAL LIABILITIES AND OWNERS' EQUITY,,"280,712,371,670,087","240,114,274,727,459",,,
