row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng - gộp VND,Tiền ký quỹ VND,Giá trị theo hợp đồng - thuần VND,numeric__Giá trị theo hợp đồng - gộp VND,numeric__Tiền ký quỹ VND,numeric__Giá trị theo hợp đồng - thuần VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,97.792.000.000,8.546.731.158,89.245.268.842,97792000000.0,8546731158.0,89245268842.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,138.719.544.097.903,-,138.719.544.097.903,138719544097903.0,,138719544097903.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,662.365.672.412,-,662.365.672.412,662365672412.0,,662365672412.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,663.446.975.491,-,663.446.975.491,663446975491.0,,663446975491.0
Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,137.393.731.450.000,-,137.393.731.450.000,137393731450000.0,,137393731450000.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,674.721.445.313,5.387.221.401,669.334.223.912,674721445313.0,5387221401.0,669334223912.0
Cam kết đã được ngân hàng tài trợ thanh toán,Cam kết đã được ngân hàng tài trợ thanh toán,Cam kết đã được ngân hàng tài trợ thanh toán,132.601.505.410,-,132.601.505.410,132601505410.0,,132601505410.0
Cam kết chưa thực hiện,Cam kết chưa thực hiện,Cam kết chưa thực hiện,542.119.939.903,5.387.221.401,536.732.718.502,542119939903.0,5387221401.0,536732718502.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,6.543.873.719.523,382.710.699.264,6.161.163.020.259,6543873719523.0,382710699264.0,6161163020259.0
Cam kết khác,Cam kết khác,Cam kết khác,2.498.925.000.000,-,2.498.925.000.000,2498925000000.0,,2498925000000.0
,,,148.534.856.262.739,396.644.651.823,148.138.211.610.916,148534856262739.0,396644651823.0,148138211610916.0
