row_label_raw,row_label_full,col_0,EUR equivalent VND,USD equivalent VND,Gold currencies equivalent VND,Other currencies equivalent VND,Total VND,numeric__EUR equivalent VND,numeric__USD equivalent VND,numeric__Gold currencies equivalent VND,numeric__Other currencies equivalent VND,numeric__Total VND
Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,,,,,
"Cash, gold and gemstones","Cash, gold and gemstones","Cash, gold and gemstones","4,983,677,046","71,302,384,706","91,520,000","4,392,458,364","80,770,040,116",,,,,
Balances with the SBV,Balances with the SBV,Balances with the SBV,-,"149,960,919,227",-,-,"149,960,919,227",,,,,
Deposits and loans to other credit institutions,Deposits and loans to other credit institutions,Deposits and loans to other credit institutions,"25,020,759,155","3,263,323,924,876",-,"141,845,598,202","3,430,190,282,233",,,,,
Loans to customers and purchased debts - gross,Loans to customers and purchased debts - gross,Loans to customers and purchased debts - gross,-,"709,691,828,642",-,-,"709,691,828,642",,,,,
Other assets - gross,Other assets - gross,Other assets - gross,"13,177,148","269,142,383,134",-,"4,014,335","269,159,574,617",,,,,
Total assets,Total assets,Total assets,"30,017,613,349","4,463,421,440,585","91,520,000","146,242,070,901","4,639,772,644,835",,,,,
Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,,,,,
Deposits and borrowings from other credit institutions,Deposits and borrowings from other credit institutions,Deposits and borrowings from other credit institutions,-,"4,146,223,218,863",-,-,"4,146,223,218,863",,,,,
Customer deposits,Customer deposits,Customer deposits,"26,856,678,673","1,409,970,786,280",-,"113,324,293,237","1,550,151,758,190",,,,,
Derivative financial instruments and other financial liabilities,Derivative financial instruments and other financial liabilities,Derivative financial instruments and other financial liabilities,-,"(6,732,793,656,564)",-,-,"(6,732,793,656,564)",,,,,
"Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks",-,"5,855,455,000,000",-,-,"5,855,455,000,000",,,,,
Other liabilities - gross,Other liabilities - gross,Other liabilities - gross,"2,389,104,691","102,033,911,344","11,019,008","1,568,724,998","106,002,760,041",,,,,
Total liabilities,Total liabilities,Total liabilities,"29,245,783,364","4,780,889,259,923","11,019,008","114,893,018,235","4,925,039,080,530",,,,,
FX position on balance sheet,FX position on balance sheet,FX position on balance sheet,"771,829,985","(317,467,819,338)","80,500,992","31,349,052,666","(285,266,435,695)",,,,,
FX position off-balance sheet,FX position off-balance sheet,FX position off-balance sheet,-,"557,430,496,921",-,"(23,038,800,000)","534,391,696,921",,,,,
"Net on, off-balance sheet FX position","Net on, off-balance sheet FX position","Net on, off-balance sheet FX position","771,829,985","239,962,677,583","80,500,992","8,310,252,666","249,125,261,226",,,,,
