row_label_raw,row_label_full,col_0,31 December 2024% p.a.,31 December 2023% p.a.,numeric__31 December 2024% p.a.,numeric__31 December 2023% p.a.
In VND,In VND,In VND,1.00 - 23.30,3.45 - 28.50,,
In foreign currencies,In foreign currencies,In foreign currencies,5.30 - 8.90,4.37 - 9.59,,
