row_label_raw,row_label_full,col_0,Beginning balance,Beginning balance_1,Movements during the year,Movements during the year_1,Ending balance,Ending balance_1,numeric__Beginning balance,numeric__Beginning balance_1,numeric__Movements during the year,numeric__Movements during the year_1,numeric__Ending balance,numeric__Ending balance_1
,,,Payables VND,Receivables VND,Payables VND,Paid VND,Payables VND,Receivables VND,,,,,,
Value added tax,Value added tax,Value added tax,"68,546,123,446","116,569,579","92,321,435,338","(156,161,768,121)","42,237,381,703","37,648,160,619",,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"318,076,067,522","191,800,783","832,872,712,413","(852,812,443,202)","302,807,704,094","4,863,168,144",,,,,,
Personal income tax,Personal income tax,Personal income tax,"9,859,315,404",-,"161,762,996,787","(159,590,705,421)","12,031,606,770",-,,,,,,
Withholding tax,Withholding tax,Withholding tax,"1,026,320,497",-,"13,522,706,070","(13,325,631,463)","1,223,395,104",-,,,,,,
Land and housing tax,Land and housing tax,Land and housing tax,-,-,"732,287,023","(732,287,023)",-,-,,,,,,
Other taxes,Other taxes,Other taxes,-,-,"174,000,000","(174,000,000)",-,-,,,,,,
,,,"397,507,826,869","308,370,362","1,101,386,138,031","(1,182,796,835,630)","358,300,087,671","42,511,328,763",,,,,,
23. OWNERS' EQUITY AND RESERVES,23. OWNERS' EQUITY AND RESERVES,23. OWNERS' EQUITY AND RESERVES,23. OWNERS' EQUITY AND RESERVES,23. OWNERS' EQUITY AND RESERVES,23. OWNERS' EQUITY AND RESERVES,23. OWNERS' EQUITY AND RESERVES,23. OWNERS' EQUITY AND RESERVES,23. OWNERS' EQUITY AND RESERVES,,,,,,
23.1 Statement of changes in equity,23.1 Statement of changes in equity,23.1 Statement of changes in equity,23.1 Statement of changes in equity,23.1 Statement of changes in equity,23.1 Statement of changes in equity,23.1 Statement of changes in equity,23.1 Statement of changes in equity,23.1 Statement of changes in equity,,,,,,
,,,Charter capital VND,Share premium VND,Reserved funds VND,Undistributed profits VND,Total VND,,,,,,,
Balance as at 1 January 2024,Balance as at 1 January 2024,Balance as at 1 January 2024,"20,548,242,940,000","53,271,987,348","2,588,756,524,494","5,345,432,019,028","28,535,703,470,870",,,,,,,
Increase charter capital,Increase charter capital,Increase charter capital,"4,109,648,580,000",-,-,"(4,109,648,580,000)",-,,,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"3,173,423,226,768","3,173,423,226,768",,,,,,,
Appropriation to other funds,Appropriation to other funds,Appropriation to other funds,-,-,"634,869,606,672","(634,869,606,672)",-,,,,,,,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,-,-,-,"(38,081,264,314)","(38,081,264,314)",,,,,,,
Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,"24,657,891,520,000","53,271,987,348","3,223,626,131,166","3,736,255,794,810","31,671,045,433,324",,,,,,,
