row_label_raw,row_label_full,col_0,31 December 2024%,31 December 2023%,numeric__31 December 2024%,numeric__31 December 2023%
For customers,For customers,For customers,For customers,For customers,,
Demand deposits and deposit with term lessthan 12 months in VND,For customers > Demand deposits and deposit with term lessthan 12 months in VND,Demand deposits and deposit with term lessthan 12 months in VND,3.00,3.00,300.0,300.0
Deposits with term over 12 months in VND,For customers > Deposits with term over 12 months in VND,Deposits with term over 12 months in VND,1.00,1.00,100.0,100.0
Demand deposits and deposit with term lessthan 12 months in foreign currencies,For customers > Demand deposits and deposit with term lessthan 12 months in foreign currencies,Demand deposits and deposit with term lessthan 12 months in foreign currencies,8.00,8.00,800.0,800.0
Demand deposits and term deposits with termover 12 months in foreign currencies,For customers > Demand deposits and term deposits with termover 12 months in foreign currencies,Demand deposits and term deposits with termover 12 months in foreign currencies,6.00,6.00,600.0,600.0
For overseas credit institutions,For overseas credit institutions,For overseas credit institutions,For overseas credit institutions,For overseas credit institutions,,
Deposits in foreign currencies,For overseas credit institutions > Deposits in foreign currencies,Deposits in foreign currencies,1.00,1.00,100.0,100.0
