row_label_raw,row_label_full,col_0,Not past due VND,Past due but not impaired VND,Past due and individually impaired VND,Total VND,numeric__Not past due VND,numeric__Past due but not impaired VND,numeric__Past due and individually impaired VND,numeric__Total VND
Deposits and loans to other credit institutions,Deposits and loans to other credit institutions,Deposits and loans to other credit institutions,"39,126,199,257,631",-,-,"39,126,199,257,631",,,,
- Deposits at other credit institutions,- Deposits at other credit institutions,- Deposits at other credit institutions,"38,922,550,757,631",-,-,"38,922,550,757,631",,,,
- Loans to other credit institutions,- Loans to other credit institutions,- Loans to other credit institutions,"203,648,500,000",-,-,"203,648,500,000",,,,
Loans to customers and purchased debts - gross,Loans to customers and purchased debts - gross,Loans to customers and purchased debts - gross,"164,754,201,035,482","2,715,506,141,216","8,453,984,786,333","175,923,691,963,031",,,,
Available-for-sale securities - gross,Available-for-sale securities - gross,Available-for-sale securities - gross,"52,635,610,527,457",-,-,"52,635,610,527,457",,,,
Other assets - gross,Other assets - gross,Other assets - gross,"7,988,180,025,846",-,"4,800,000,000","7,992,980,025,846",,,,
Total,Total,Total,"264,504,190,846,416","2,715,506,141,216","8,458,784,786,333","275,678,481,773,965",,,,
