row_label_raw,row_label_full,col_0,Domestic VND,Foreign VND,Total VND,numeric__Domestic VND,numeric__Foreign VND,numeric__Total VND
Assets as at 31 December 2024,Assets as at 31 December 2024,Assets as at 31 December 2024,Assets as at 31 December 2024,Assets as at 31 December 2024,Assets as at 31 December 2024,,,
Deposits and loans to other credit institutions,Deposits and loans to other credit institutions,Deposits and loans to other credit institutions,"38,667,689,241,272","458,510,016,359","39,126,199,257,631",,,
Derivatives instruments and other financial assets (total contract nominal value),Derivatives instruments and other financial assets (total contract nominal value),Derivatives instruments and other financial assets (total contract nominal value),"69,564,201,639,592",-,"69,564,201,639,592",,,
Loans to customers - gross,Loans to customers - gross,Loans to customers - gross,"170,844,469,638,663",-,"170,844,469,638,663",,,
Purchased debts - gross,Purchased debts - gross,Purchased debts - gross,"5,079,222,324,368",-,"5,079,222,324,368",,,
Investment securities - gross,Investment securities - gross,Investment securities - gross,"52,635,610,527,457",-,"52,635,610,527,457",,,
Liabilities as at 31 December 2024,Liabilities as at 31 December 2024,Liabilities as at 31 December 2024,Liabilities as at 31 December 2024,Liabilities as at 31 December 2024,Liabilities as at 31 December 2024,,,
Deposits and borrowings from other credit institutions,Deposits and borrowings from other credit institutions,Deposits and borrowings from other credit institutions,"45,000,286,303,746","7,994,901,752","45,008,281,205,498",,,
Customer deposits,Customer deposits,Customer deposits,"141,187,170,604,230","1,272,592,883,682","142,459,763,487,912",,,
Other grants and entrusted funds,Other grants and entrusted funds,Other grants and entrusted funds,"86,628,509,395","5,855,455,000,000","5,942,083,509,395",,,
Valuable papers issued,Valuable papers issued,Valuable papers issued,"44,010,712,500,000",-,"44,010,712,500,000",,,
Off-balance sheet commitments as at 31 December 2024,Off-balance sheet commitments as at 31 December 2024,Off-balance sheet commitments as at 31 December 2024,"9,815,312,164,836",-,"9,815,312,164,836",,,
