row_label_raw,row_label_full,col_0,31 December 2024% p.a.,31 December 2023% p.a.,numeric__31 December 2024% p.a.,numeric__31 December 2023% p.a.
Demand deposits in VND,Demand deposits in VND,Demand deposits in VND,0.10 - 0.50,0.10 - 0.50,,
Demand deposits in foreign currencies,Demand deposits in VND > Demand deposits in foreign currencies,Demand deposits in foreign currencies,0.00,0.00,0.0,0.0
Term deposits in VND,Term deposits in VND,Term deposits in VND,0.10 - 10.50,0.50 - 11.50,,
Term deposits in foreign currencies,Term deposits in VND > Term deposits in foreign currencies,Term deposits in foreign currencies,0.00,0.00,0.0,0.0
Demand saving deposits in VND,Term deposits in VND > Demand saving deposits in VND,Demand saving deposits in VND,0.10,0.10 - 0.50,10.0,
Demand saving deposits in foreign currencies,Term deposits in VND > Demand saving deposits in foreign currencies,Demand saving deposits in foreign currencies,0.00,0.00,0.0,0.0
Term saving deposits in VND,Term saving deposits in VND,Term saving deposits in VND,0.00 - 10.50,0.50 - 6.30,,
Term saving deposits in foreign currencies,Term saving deposits in VND > Term saving deposits in foreign currencies,Term saving deposits in foreign currencies,0.00,0.00,0.0,0.0
