row_label_raw,row_label_full,col_0,Ending balance VND,Beginning balance VND,numeric__Ending balance VND,numeric__Beginning balance VND
Available-for-sale securities,Available-for-sale securities,Available-for-sale securities,"52,635,610,527,457","40,331,397,720,516",,
Debt securities,Debt securities,Debt securities,,,,
Government bonds,Government bonds,Government bonds,"19,132,716,627,953","23,171,492,258,634",,
Debt securities issued by other domestic credit institutions,Debt securities issued by other domestic credit institutions,Debt securities issued by other domestic credit institutions,"29,050,157,917,998","13,938,530,103,010",,
Debt securities issued by domestic economic entities,Debt securities issued by domestic economic entities,Debt securities issued by domestic economic entities,"4,387,181,172,359","3,155,820,549,725",,
Equity securities,Equity securities,Equity securities,,,,
Equity securities issued by other domestic credit institutions,Equity securities issued by other domestic credit institutions,Equity securities issued by other domestic credit institutions,"14,236,945,147","14,236,945,147",,
Equity securities issued by domestic economic entities,Equity securities issued by domestic economic entities,Equity securities issued by domestic economic entities,"51,317,864,000","51,317,864,000",,
Provision for available-for-sale securities,Provision for available-for-sale securities,Provision for available-for-sale securities,"(46,576,740,301)","(39,642,698,725)",,
Provision for impairment (i),Provision for impairment (i),Provision for impairment (i),"(13,672,881,508)","(15,974,044,604)",,
General provision (ii),General provision (ii),General provision (ii),"(32,903,858,793)","(23,668,654,121)",,
,,,"52,589,033,787,156","40,291,755,021,791",,
