row_label_raw,row_label_full,col_0,Ending balanceVND,Beginning balanceVND,numeric__Ending balanceVND,numeric__Beginning balanceVND
Internal payables,Internal payables,Internal payables,"9,670,775,746","8,355,993,396",,
- Payables to employees,- Payables to employees,- Payables to employees,"9,670,775,746","8,355,993,396",,
External payables,External payables,External payables,"4,965,712,407,647","7,493,612,693,442",,
- Settlement services,- Settlement services,- Settlement services,"4,291,219,908,450","4,657,030,842,725",,
- Tax payables,- Tax payables,- Tax payables,"358,300,087,671","397,507,826,869",,
- Remittance payables,- Remittance payables,- Remittance payables,"56,738,563,534","86,402,277,810",,
- Amounts waiting for settlement,- Amounts waiting for settlement,- Amounts waiting for settlement,"36,245,740,820","507,484,606,668",,
- Dividend payables,- Dividend payables,- Dividend payables,"17,992,908,126","18,021,133,195",,
- Other payables,- Other payables,- Other payables,"205,215,199,046","1,827,166,006,175",,
Bonus and welfare fund (*),Bonus and welfare fund (*),Bonus and welfare fund (*),"163,334,313,087","135,715,048,773",,
,,,"5,138,717,496,480","7,637,683,735,611",,
