row_label_raw,row_label_full,col_0,Notes,Ending balance VND,Beginning balance VND,numeric__Notes,numeric__Ending balance VND,numeric__Beginning balance VND
Contingent liabilities,Contingent liabilities,Contingent liabilities,37,"148,138,211,610,916","166,218,248,044,071",37.0,,
- Credit guarantees,- Credit guarantees,- Credit guarantees,,"89,245,268,842","27,951,235,279",,,
- Foreign exchange commitments,- Foreign exchange commitments,- Foreign exchange commitments,,"138,719,544,097,903","158,389,419,615,570",,,
Spot foreign exchange commitments - buy,Spot foreign exchange commitments - buy,Spot foreign exchange commitments - buy,,"662,365,672,412","296,243,446,052",,,
Spot foreign exchange commitments - sell,Spot foreign exchange commitments - sell,Spot foreign exchange commitments - sell,,"663,446,975,491","296,226,105,852",,,
Swap contracts,Swap contracts,Swap contracts,,"137,393,731,450,000","157,796,950,063,666",,,
- Letters of credit,- Letters of credit,- Letters of credit,,"669,334,223,912","1,285,464,740,750",,,
- Other guarantees,- Other guarantees,- Other guarantees,,"6,161,163,020,259","6,515,412,452,472",,,
- Other commitments,- Other commitments,- Other commitments,,"2,498,925,000,000",-,,,
Uncollected interest and receivable fees,- Other commitments > Uncollected interest and receivable fees,Uncollected interest and receivable fees,38,"1,854,843,084,325","2,687,354,712,757",38.0,,
Written-off debts,- Other commitments > Written-off debts,Written-off debts,39,"14,880,784,832,530","10,211,698,707,052",39.0,,
Other assets and documents,- Other commitments > Other assets and documents,Other assets and documents,40,"68,135,411,858,929","27,283,410,619,395",40.0,,
,,,,"233,009,251,386,700","206,400,712,083,275",,,
