row_label_raw,row_label_full,col_0,Current year,Previous year,numeric__Current year,numeric__Previous year
I. Average number of employees during the year (persons),I. Average number of employees during the year (persons),I. Average number of employees during the year (persons),"6,900","6,353",6.9,6.353
II. Employees' income (VND),II. Employees' income (VND),II. Employees' income (VND),II. Employees' income (VND),II. Employees' income (VND),,
1. Salary,1. Salary,1. Salary,"1,976,831,243,274","1,698,069,482,642",,
2. Bonus,2. Bonus,2. Bonus,"320,999,845,200","241,312,586,780",,
3. Total income (1+2),3. Total income (1+2),3. Total income (1+2),"2,297,831,088,474","1,939,382,069,422",,
4. Monthly average salary per capital (VND/employee/month),4. Monthly average salary per capital (VND/employee/month),4. Monthly average salary per capital (VND/employee/month),"23,874,773","22,273,853",,
5. Monthly average income per capital (VND/employee/month),5. Monthly average income per capital (VND/employee/month),5. Monthly average income per capital (VND/employee/month),"27,751,583","25,439,190",,
