row_label_raw,row_label_full,col_0,31 December 2024% p.a.,31 December 2023% p.a.,numeric__31 December 2024% p.a.,numeric__31 December 2023% p.a.
Term deposits from other credit institutions in VND,Term deposits from other credit institutions in VND,Term deposits from other credit institutions in VND,3.80 - 5.40,0.65 - 3.70,,
Term deposits from other credit institutions in foreign currencies,Term deposits from other credit institutions in foreign currencies,Term deposits from other credit institutions in foreign currencies,4.40 - 5.00,5.40 - 5.50,,
Borrowings from other credit institutions in VND,Borrowings from other credit institutions in VND,Borrowings from other credit institutions in VND,5.68 - 6.53,0.60 - 7.44,,
Borrowings from other credit institutions in foreign currencies,Borrowings from other credit institutions in foreign currencies,Borrowings from other credit institutions in foreign currencies,5.70 - 6.58,0.75 - 9.52,,
