row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,37,148.138.211.610.916,166.218.248.044.071,37.0,148138211610916.0,166218248044071.0
- Bảo lãnh vay vốn,- Bảo lãnh vay vốn,- Bảo lãnh vay vốn,,89.245.268.842,27.951.235.279,,89245268842.0,27951235279.0
- Cam kết giao dịch hối đoái,- Cam kết giao dịch hối đoái,- Cam kết giao dịch hối đoái,,138.719.544.097.903,158.389.419.615.570,,138719544097903.0,158389419615570.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,,662.365.672.412,296.243.446.052,,662365672412.0,296243446052.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,,663.446.975.491,296.226.105.852,,663446975491.0,296226105852.0
Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,,137.393.731.450.000,157.796.950.063.666,,137393731450000.0,157796950063666.0
- Cam kết trong nghiệp vụ L/C,- Cam kết trong nghiệp vụ L/C,- Cam kết trong nghiệp vụ L/C,,669.334.223.912,1.285.464.740.750,,669334223912.0,1285464740750.0
- Bảo lãnh khác,- Bảo lãnh khác,- Bảo lãnh khác,,6.161.163.020.259,6.515.412.452.472,,6161163020259.0,6515412452472.0
- Cam kết khác,- Cam kết khác,- Cam kết khác,,2.498.925.000.000,-,,2498925000000.0,
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,38,1.854.843.084.325,2.687.354.712.757,38.0,1854843084325.0,2687354712757.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,39,14.880.784.832.530,10.211.698.707.052,39.0,14880784832530.0,10211698707052.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,40,68.135.411.858.929,27.283.410.619.395,40.0,68135411858929.0,27283410619395.0
,,,,233.009.251.386.700,206.400.712.083.275,,233009251386700.0,206400712083275.0
