row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) VND > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản VND > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > No phải trả VND > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) VND > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản VND > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > No phải trả VND > Tại ngày 31 tháng 12 năm 2024
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,115.214.689.592,332.672.156,-,115214689592.0,332672156.0,
Giao dịch hoàn đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoàn đổi tiền tệ,Giao dịch hoàn đổi tiền tệ,68.222.986.950.000,-,309.670.330.000,68222986950000.0,,309670330000.0
Giao dịch hoàn đổi lãi suất hai đồng tiền,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoàn đổi lãi suất hai đồng tiền,Giao dịch hoàn đổi lãi suất hai đồng tiền,1.226.000.000.000,-,46.925.000.000,1226000000000.0,,46925000000.0
,,,69.564.201.639.592,332.672.156,356.595.330.000,69564201639592.0,332672156.0,356595330000.0
,,,,,356.262.657.844,,,356262657844.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,70.575.046.875,-,1.063.335.938,70575046875.0,,1063335938.0
Giao dịch hoàn đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoàn đổi tiền tệ,Giao dịch hoàn đổi tiền tệ,76.097.542.836.181,42.536.901.303,-,76097542836181.0,42536901303.0,
,,,76.168.117.883.056,42.536.901.303,1.063.335.938,76168117883056.0,42536901303.0,1063335938.0
,,,,41.473.565.365,,,41473565365.0,
