row_label_raw,row_label_full,col_0,Pages,numeric__Pages
General information,General information,General information,1 - 2,
Report of the Board of Management,General information > Report of the Board of Management,Report of the Board of Management,3,3.0
Independent auditors' report,Independent auditors' report,Independent auditors' report,4 - 5,
Consolidated statement of financial position,Consolidated statement of financial position,Consolidated statement of financial position,6 - 8,
Consolidated statement of profit or loss,Consolidated statement of financial position > Consolidated statement of profit or loss,Consolidated statement of profit or loss,9,9.0
Consolidated cash flow statement,Consolidated cash flow statement,Consolidated cash flow statement,10 - 11,
Notes to the consolidated financial statements,Notes to the consolidated financial statements,Notes to the consolidated financial statements,12 - 74,
