row_label_raw,row_label_full,col_0,Notes,Current year VND,Previous year VND,numeric__Notes,numeric__Current year VND,numeric__Previous year VND
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,
Interest and similar receipts,Interest and similar receipts,Interest and similar receipts,,"17,695,416,911,444","17,929,055,213,599",,,
Interest and similar payments,Interest and similar payments,Interest and similar payments,,"(11,394,131,834,973)","(9,438,709,686,228)",,,
Net fee and commission receipts,Net fee and commission receipts,Net fee and commission receipts,,"937,622,856,884","871,248,051,788",,,
"Net receipts/payments from dealing in foreign currencies, gold and securities trading activities","Net receipts/payments from dealing in foreign currencies, gold and securities trading activities","Net receipts/payments from dealing in foreign currencies, gold and securities trading activities",,"131,716,277,329","1,042,504,616,013",,,
Other income,Other income,Other income,,"169,307,998,744","239,809,079,594",,,
Recoveries from bad debts previously written-off,Other income > Recoveries from bad debts previously written-off,Recoveries from bad debts previously written-off,31,"211,356,985,356","86,690,315,928",31.0,,
Payments for operating and salary expenses,Payments for operating and salary expenses,Payments for operating and salary expenses,,"(3,728,914,483,970)","(3,110,171,374,359)",,,
Corporate income tax paid during the year,Payments for operating and salary expenses > Corporate income tax paid during the year,Corporate income tax paid during the year,22,"(852,812,443,202)","(865,017,764,120)",22.0,,
Net cash flows from operating profit before changes in operating assets and liabilities,Net cash flows from operating profit before changes in operating assets and liabilities,Net cash flows from operating profit before changes in operating assets and liabilities,,"3,169,562,267,612","6,755,408,452,215",,,
Changes in operating assets,Changes in operating assets,Changes in operating assets,Changes in operating assets,Changes in operating assets,Changes in operating assets,,,
Decrease in deposits and loans to other credit institutions,Decrease in deposits and loans to other credit institutions,Decrease in deposits and loans to other credit institutions,,"1,392,653,034,449","613,728,642,844",,,
Increase in investment securities,Increase in investment securities,Increase in investment securities,,"(12,304,212,806,941)","(2,821,194,346,585)",,,
Decrease in other derivative and financial assets,Decrease in other derivative and financial assets,Decrease in other derivative and financial assets,,"41,473,565,365","318,570,441,702",,,
Increase in loans to customers,Increase in loans to customers,Increase in loans to customers,,"(28,166,325,747,460)","(25,046,204,474,079)",,,
Utilization of provision to write off,Increase in loans to customers > Utilization of provision to write off,Utilization of provision to write off,10,"(2,176,894,900,043)","(703,276,451,916)",10.0,,
Decrease/(increase) in other assets,Decrease/(increase) in other assets,Decrease/(increase) in other assets,,"818,531,294,940","(1,764,715,431,571)",,,
Changes in operating liabilities,Changes in operating liabilities,Changes in operating liabilities,Changes in operating liabilities,Changes in operating liabilities,Changes in operating liabilities,,,
Increase/(decrease) in amounts due to the Government and the State Bank,Increase/(decrease) in amounts due to the Government and the State Bank,Increase/(decrease) in amounts due to the Government and the State Bank,,"3,375,141,098,577","(2,500,235,292,044)",,,
Increase in deposits and borrowings from other credit institutions,Increase in deposits and borrowings from other credit institutions,Increase in deposits and borrowings from other credit institutions,,"13,968,416,009,731","8,401,222,337,334",,,
Increase in customer deposits,Increase in customer deposits,Increase in customer deposits,,"16,513,831,069,353","23,742,743,108,336",,,
Increase in valuable papers issued,Increase in valuable papers issued,Increase in valuable papers issued,,"6,202,387,500,000","5,785,587,500,000",,,
Increase in other borrowed and entrusted funds,Increase in other borrowed and entrusted funds,Increase in other borrowed and entrusted funds,,"1,583,888,255,582","1,189,720,863,332",,,
Increase derivative financial instruments and other financial liabilities,Increase derivative financial instruments and other financial liabilities,Increase derivative financial instruments and other financial liabilities,,"356,262,657,844",-,,,
(Decrease)/increase in other liabilities,(Decrease)/increase in other liabilities,(Decrease)/increase in other liabilities,,"(2,507,932,329,937)","2,670,662,148,197",,,
Utilization of funds,(Decrease)/increase in other liabilities > Utilization of funds,Utilization of funds,21,"(10,462,000,000)","(6,547,777,779)",21.0,,
Net cash flows from operating activities,Net cash flows from operating activities,Net cash flows from operating activities,,"2,256,318,969,072","16,635,469,719,986",,,
