row_label_raw,row_label_full,col_0,Notes,Current year VND,Previous year VND,numeric__Notes,numeric__Current year VND,numeric__Previous year VND
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,
Purchases of fixed assets,Purchases of fixed assets,Purchases of fixed assets,,"(278,200,437,406)","(381,839,983,500)",,,
Proceeds from disposal of fixed assets,Proceeds from disposal of fixed assets,Proceeds from disposal of fixed assets,,"60,693,687,165","1,350,311,713,634",,,
Net cash flows (used in)/from investing activities,Net cash flows (used in)/from investing activities,Net cash flows (used in)/from investing activities,,"(217,506,750,241)","968,471,730,134",,,
CASH FLOWS FROM FINANCING ACTIVITY,CASH FLOWS FROM FINANCING ACTIVITY,CASH FLOWS FROM FINANCING ACTIVITY,CASH FLOWS FROM FINANCING ACTIVITY,CASH FLOWS FROM FINANCING ACTIVITY,CASH FLOWS FROM FINANCING ACTIVITY,,,
Dividends paid to shareholders,Dividends paid to shareholders,Dividends paid to shareholders,,"(28,225,069)","(4,246,000)",,,
Cash flows used in financing activities,Cash flows used in financing activities,Cash flows used in financing activities,,"(28,225,069)","(4,246,000)",,,
Net cash flows for the year,Net cash flows for the year,Net cash flows for the year,,"2,038,783,993,762","17,603,937,204,120",,,
Cash and cash equivalents at the beginning of the year,Net cash flows for the year > Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,34,"40,049,013,547,932","22,445,076,343,812",34.0,,
Cash and cash equivalents at the end of the year,Net cash flows for the year > Cash and cash equivalents at the end of the year,Cash and cash equivalents at the end of the year,34,"42,087,797,541,694","40,049,013,547,932",34.0,,
