row_label_raw,row_label_full,col_0,Trading VND,Loan and receivable VND,Available for sale VND,Other assets/(Liabilities) accounted for at amortized value VND,Total book value VND,Fair value,numeric__Trading VND,numeric__Loan and receivable VND,numeric__Available for sale VND,numeric__Other assets/(Liabilities) accounted for at amortized value VND,numeric__Total book value VND,numeric__Fair value
Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,,,,,,
"Cash, gold and gemstones","Cash, gold and gemstones","Cash, gold and gemstones",-,-,-,"787,773,771,826","787,773,771,826","787,773,771,826",,,,,,
Balances with the SBV,Balances with the SBV,Balances with the SBV,-,-,-,"2,377,473,012,237","2,377,473,012,237","2,377,473,012,237",,,,,,
Deposits and loans to other credit institutions,Deposits and loans to other credit institutions,Deposits and loans to other credit institutions,-,"203,648,500,000",-,"38,922,550,757,631","39,126,199,257,631",(*),,,,,,
Loans to customers - gross,Loans to customers - gross,Loans to customers - gross,-,"170,844,469,638,663",-,-,"170,844,469,638,663",(*),,,,,,
Purchased debts - gross,Purchased debts - gross,Purchased debts - gross,-,"5,079,222,324,368",-,-,"5,079,222,324,368",(*),,,,,,
Available for sale securities - gross,Available for sale securities - gross,Available for sale securities - gross,-,-,"52,635,610,527,457",-,"52,635,610,527,457",(*),,,,,,
Other assets - gross,Other assets - gross,Other assets - gross,-,"7,992,980,025,846",-,-,"7,992,980,025,846",(*),,,,,,
,,,-,"184,120,320,488,877","52,635,610,527,457","42,087,797,541,694","278,843,728,558,028",,,,,,,
Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,,,,,,
Amounts due to the Government and the SBV,Amounts due to the Government and the SBV,Amounts due to the Government and the SBV,-,-,-,"3,469,535,552,139","3,469,535,552,139",(*),,,,,,
Deposits and borrowings from other credit institutions,Deposits and borrowings from other credit institutions,Deposits and borrowings from other credit institutions,-,-,-,"45,008,281,205,498","45,008,281,205,498",(*),,,,,,
Customer deposits,Customer deposits,Customer deposits,-,-,-,"142,459,763,487,912","142,459,763,487,912",(*),,,,,,
Other borrowed and entrusted funds,Other borrowed and entrusted funds,Other borrowed and entrusted funds,-,-,-,"5,942,083,509,395","5,942,083,509,395",(*),,,,,,
Valuable papers issued,Valuable papers issued,Valuable papers issued,-,-,-,"44,010,712,500,000","44,010,712,500,000",(*),,,,,,
Derivatives and other financial liabilities,Derivatives and other financial liabilities,Derivatives and other financial liabilities,-,-,-,"356,262,657,844","356,262,657,844",(*),,,,,,
Other liabilities - gross,Other liabilities - gross,Other liabilities - gross,-,-,-,"7,794,687,323,975","7,794,687,323,975",(*),,,,,,
,,,-,-,-,"249,041,326,236,763","249,041,326,236,763",,,,,,,
