row_label_raw,row_label_full,col_0,Chưa quá hạn vàchưa bị giảm giáVND,Đã quá hạn vàchưa bị giảm giáVND,Đã quá hạn và đãtrích lập dự phòngVND,Tổng cộngVND,numeric__Chưa quá hạn vàchưa bị giảm giáVND,numeric__Đã quá hạn vàchưa bị giảm giáVND,numeric__Đã quá hạn và đãtrích lập dự phòngVND,numeric__Tổng cộngVND
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,39.126.199.257.631,-,-,39.126.199.257.631,39126199257631.0,,,39126199257631.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,38.922.550.757.631,-,-,38.922.550.757.631,38922550757631.0,,,38922550757631.0
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,203.648.500.000,-,-,203.648.500.000,203648500000.0,,,203648500000.0
Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,164.754.201.035.482,2.715.506.141.216,8.453.984.786.333,175.923.691.963.031,164754201035482.0,2715506141216.0,8453984786333.0,175923691963031.0
Chứng khoán đầu tư sản sàng để bán - gộp,Chứng khoán đầu tư sản sàng để bán - gộp,Chứng khoán đầu tư sản sàng để bán - gộp,52.635.610.527.457,-,-,52.635.610.527.457,52635610527457.0,,,52635610527457.0
Tài sản Có khác - gộp,Tài sản Có khác - gộp,Tài sản Có khác - gộp,7.988.180.025.846,-,4.800.000.000,7.992.980.025.846,7988180025846.0,,4800000000.0,7992980025846.0
Tổng cộng,Tổng cộng,Tổng cộng,264.504.190.846.416,2.715.506.141.216,8.458.784.786.333,275.678.481.773.965,264504190846416.0,2715506141216.0,8458784786333.0,275678481773965.0
