row_label_raw,row_label_full,col_0,31 December 2023,31 December 2023_1,31 December 2023_2,numeric__31 December 2023,numeric__31 December 2023_1,numeric__31 December 2023_2
,,,Contract value- grossVND,Margin depositsVND,Contract value- netVND,,,
Credit guarantees,Credit guarantees,Credit guarantees,"28,212,000,000","260,764,721","27,951,235,279",,,
Foreign exchange commitments,Foreign exchange commitments,Foreign exchange commitments,"158,389,419,615,570",-,"158,389,419,615,570",,,
Spot foreign exchange commitments - buy,Spot foreign exchange commitments - buy,Spot foreign exchange commitments - buy,"296,243,446,052",-,"296,243,446,052",,,
Spot foreign exchange commitments - sell,Spot foreign exchange commitments - sell,Spot foreign exchange commitments - sell,"296,226,105,852",-,"296,226,105,852",,,
Swap contracts,Swap contracts,Swap contracts,"157,796,950,063,666",-,"157,796,950,063,666",,,
Letters of credit,Letters of credit,Letters of credit,"1,291,666,414,821","6,201,674,071","1,285,464,740,750",,,
Commitments financed by other banks,Commitments financed by other banks,Commitments financed by other banks,"412,224,072,395",-,"412,224,072,395",,,
Unsettled commitments,Unsettled commitments,Unsettled commitments,"879,442,342,426","6,201,674,071","873,240,668,355",,,
Other guarantees,Other guarantees,Other guarantees,"6,802,538,170,024","287,125,717,552","6,515,412,452,472",,,
Total,Total,Total,"166,511,836,200,415","293,588,156,344","166,218,248,044,071",,,
