row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Expenses on taxes and fees,Expenses on taxes and fees,Expenses on taxes and fees,"3,925,714,188","3,384,466,924",,
Personnel expenses,Personnel expenses,Personnel expenses,"2,261,241,024,089","1,939,838,578,351",,
In which:,In which:,In which:,,,,
- Salary and allowances,- Salary and allowances,- Salary and allowances,"1,992,858,256,291","1,701,608,988,298",,
- Expenses related to salary,- Expenses related to salary,- Expenses related to salary,"181,066,395,543","153,085,837,915",,
- Subsidy,- Subsidy,- Subsidy,"932,763,041","4,945,886,707",,
- Others,- Others,- Others,"86,383,609,214","80,197,865,431",,
Expenses on asset,Expenses on asset,Expenses on asset,"593,656,100,410","496,478,499,699",,
In which:,In which:,In which:,,,,
- Depreciation and amortization of fixed assets,- Depreciation and amortization of fixed assets,- Depreciation and amortization of fixed assets,"121,559,763,963","103,741,071,791",,
- Others,- Others,- Others,"472,096,336,447","392,737,427,908",,
Administrative expenses,Administrative expenses,Administrative expenses,"823,085,967,928","633,346,741,724",,
Insurance fee for customer deposits,Insurance fee for customer deposits,Insurance fee for customer deposits,"121,851,845,541","98,376,751,862",,
,,,"3,803,760,652,156","3,171,425,038,560",,
