row_label_raw,row_label_full,col_0,Specific provision VND,General provision VND,Total VND,numeric__Specific provision VND,numeric__General provision VND,numeric__Total VND
Balance as at 1 January 2023,Balance as at 1 January 2023,Balance as at 1 January 2023,"694,050,997,671","888,208,852,751","1,582,259,850,422",,,
Provision charged for the year,Provision charged for the year,Provision charged for the year,"1,427,542,949,336","195,622,971,122","1,623,165,920,458",,,
Provision used to write off bad debts,Provision used to write off bad debts,Provision used to write off bad debts,"(703,276,451,916)",-,"(703,276,451,916)",,,
Balance as at 31 December 2023,Balance as at 31 December 2023,Balance as at 31 December 2023,"1,418,317,495,091","1,083,831,823,873","2,502,149,318,964",,,
