row_label_raw,row_label_full,col_0,Basis for calculation,Maximum balance,numeric__Basis for calculation,numeric__Maximum balance
Capital supplementary reserve,Capital supplementary reserve,Capital supplementary reserve,10% from profit after tax,100% of charter capital,,
Financial reserve,Financial reserve,Financial reserve,10% from profit after tax,Not regulated,,
