row_label_raw,row_label_full,col_0,Miền NamVND,Miền BắcVND,Miền TrungVND,Loại trừVND,Tổng cộngVND,numeric__Miền NamVND,numeric__Miền BắcVND,numeric__Miền TrungVND,numeric__Loại trừVND,numeric__Tổng cộngVND
Kết quả hoạt động trước chi phí dự phòng rủi ro tín dụng,II. Chi phí > Kết quả hoạt động trước chi phí dự phòng rủi ro tín dụng,Kết quả hoạt động trước chi phí dự phòng rủi ro tín dụng,4.901.910.429.765,792.289.334.521,572.194.511.472,(1.072.015.796),6.265.322.259.962,4901910429765.0,792289334521.0,572194511472.0,-1072015796.0,6265322259962.0
Chi phí dự phòng rủi ro tín dụng,II. Chi phí > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(1.757.501.460.339),(332.950.110.953),(168.574.749.489),-,(2.259.026.320.781),-1757501460339.0,-332950110953.0,-168574749489.0,,-2259026320781.0
Kết quả hoạt động bộ phận,II. Chi phí > Kết quả hoạt động bộ phận,Kết quả hoạt động bộ phận,3.144.408.969.426,459.339.223.568,403.619.761.983,(1.072.015.796),4.006.295.939.181,3144408969426.0,459339223568.0,403619761983.0,-1072015796.0,4006295939181.0
III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,,,,,
1. Tiền mặt và vàng,III. Tài sản > 1. Tiền mặt và vàng,1. Tiền mặt và vàng,474.093.945.174,170.345.995.129,143.333.831.523,-,787.773.771.826,474093945174.0,170345995129.0,143333831523.0,,787773771826.0
2. Tài sản cố định,III. Tài sản > 2. Tài sản cố định,2. Tài sản cố định,497.884.821.578,38.026.165.070,94.595.641.831,-,630.506.628.479,497884821578.0,38026165070.0,94595641831.0,,630506628479.0
3. Tài sản khác,III. Tài sản > 3. Tài sản khác,3. Tài sản khác,233.939.301.360.158,28.084.740.392.492,17.319.234.072.850,(49.184.555.718),279.294.091.269.782,233939301360158.0,28084740392492.0,17319234072850.0,-49184555718.0,279294091269782.0
Tổng tài sản,III. Tài sản > Tổng tài sản,Tổng tài sản,234.911.280.126.910,28.293.112.552.691,17.557.163.546.204,(49.184.555.718),280.712.371.670.087,234911280126910.0,28293112552691.0,17557163546204.0,-49184555718.0,280712371670087.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,
1. Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,(203.905.209.652.679),(27.833.773.329.123),(17.153.543.784.221),24.205.618.093,(248.868.321.147.930),-203905209652679.0,-27833773329123.0,-17153543784221.0,24205618093.0,-248868321147930.0
2. Nợ phải trả nội bộ,IV. Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,(9.670.775.746),-,-,-,(9.670.775.746),-9670775746.0,,,,-9670775746.0
3. Nợ phải trả khác,IV. Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,(163.334.313.087),-,-,-,(163.334.313.087),-163334313087.0,,,,-163334313087.0
Tổng nợ phải trả,IV. Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,(204.078.214.741.512),(27.833.773.329.123),(17.153.543.784.221),24.205.618.093,(249.041.326.236.763),-204078214741512.0,-27833773329123.0,-17153543784221.0,24205618093.0,-249041326236763.0
