row_label_raw,row_label_full,col_0,Current year,Previous year (Restated),numeric__Current year,numeric__Previous year (Restated)
Net profit after tax,Net profit after tax,Net profit after tax,"3,173,423,226,768","3,303,302,700,616",,
Adjustment for appropriation to bonus and welfare fund (VND),Adjustment for appropriation to bonus and welfare fund (VND),Adjustment for appropriation to bonus and welfare fund (VND),"(25,385,536,201)","(38,081,264,314)",,
Net profit after tax for the year attributable to ordinary shareholders of the Bank,Net profit after tax for the year attributable to ordinary shareholders of the Bank,Net profit after tax for the year attributable to ordinary shareholders of the Bank,"3,148,037,690,567","3,265,221,436,302",,
Ordinary share issued in previous year,Ordinary share issued in previous year,Ordinary share issued in previous year,"2,054,824,294","2,054,824,294",,
Impact of share issuance (share),Impact of share issuance (share),Impact of share issuance (share),"410,964,858","410,964,858",,
Weighted average number of ordinary shares for the year (shares),Weighted average number of ordinary shares for the year (shares),Weighted average number of ordinary shares for the year (shares),"2,465,789,152","2,465,789,152",,
Basic earnings per share (VND),Weighted average number of ordinary shares for the year (shares) > Basic earnings per share (VND),Basic earnings per share (VND),"1,277","1,324",1.277,1.324
