row_label_raw,row_label_full,col_0,Notes,Ending balance VND,Beginning balance VND,numeric__Notes,numeric__Ending balance VND,numeric__Beginning balance VND
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,
"Cash, gold and gemstones","ASSETS > Cash, gold and gemstones","Cash, gold and gemstones",5,"787,773,771,826","779,733,563,086",5.0,,
Balances with the State Bank,ASSETS > Balances with the State Bank,Balances with the State Bank,6,"2,377,473,012,237","6,965,365,039,785",6.0,,
Deposits and loans to other credit institutions,Deposits and loans to other credit institutions,Deposits and loans to other credit institutions,,"39,126,199,257,631","33,900,216,479,510",,,
Deposits at other credit institutions,Deposits and loans to other credit institutions > Deposits at other credit institutions,Deposits at other credit institutions,7.1,"38,922,550,757,631","32,303,914,945,061",71.0,,
Loans to other credit institutions,Deposits and loans to other credit institutions > Loans to other credit institutions,Loans to other credit institutions,7.2,"203,648,500,000","1,596,301,534,449",72.0,,
Derivatives instruments and other financial assets,Deposits and loans to other credit institutions > Derivatives instruments and other financial assets,Derivatives instruments and other financial assets,8,-,"41,473,565,365",8.0,,
Loans to customers,Loans to customers,Loans to customers,,"168,295,145,827,686","144,704,316,896,607",,,
Loans to customers,Loans to customers > Loans to customers,Loans to customers,9,"170,844,469,638,663","147,206,466,215,571",9.0,,
Provision for credit loss of loans to customers,Loans to customers > Provision for credit loss of loans to customers,Provision for credit loss of loans to customers,10,"(2,549,323,810,977)","(2,502,149,318,964)",10.0,,
Purchased debts,Loans to customers > Purchased debts,Purchased debts,11,"5,041,128,156,935","546,768,250,000",11.0,,
Purchased debts,Purchased debts,Purchased debts,,"5,079,222,324,368","550,900,000,000",,,
Provision for credit loss of purchased debts,Provision for credit loss of purchased debts,Provision for credit loss of purchased debts,,"(38,094,167,433)","(4,131,750,000)",,,
Investment securities,Provision for credit loss of purchased debts > Investment securities,Investment securities,12,"52,589,033,787,156","40,291,755,021,791",12.0,,
Available-for-sale securities,Available-for-sale securities,Available-for-sale securities,,"52,635,610,527,457","40,331,397,720,516",,,
Provision for investment securities,Provision for investment securities,Provision for investment securities,,"(46,576,740,301)","(39,642,698,725)",,,
Fixed assets,Provision for investment securities > Fixed assets,Fixed assets,13,"630,506,628,479","554,565,039,650",13.0,,
Tangible fixed assets,Provision for investment securities > Tangible fixed assets,Tangible fixed assets,13.1,"341,299,885,196","269,540,873,296",131.0,,
Cost,Cost,Cost,,"897,989,633,453","783,657,134,113",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,"(556,689,748,257)","(514,116,260,817)",,,
Intangible fixed assets,Accumulated depreciation > Intangible fixed assets,Intangible fixed assets,13.2,"289,206,743,283","285,024,166,354",132.0,,
Cost,Cost,Cost,,"637,354,945,135","581,433,546,142",,,
Accumulated amortization,Accumulated amortization,Accumulated amortization,,"(348,148,201,852)","(296,409,379,788)",,,
Other assets,Accumulated amortization > Other assets,Other assets,14,"11,865,111,228,137","12,330,080,871,665",14.0,,
Receivables,Receivables,Receivables,"14.1, 14.2","7,092,839,311,432","7,866,786,309,830",,,
Interest and fee receivable,Receivables > Interest and fee receivable,Interest and fee receivable,14.3,"2,778,453,061,157","2,528,258,177,998",143.0,,
Other assets,Receivables > Other assets,Other assets,14.4,"1,998,618,855,548","1,939,836,383,837",144.0,,
Provision for other assets,Receivables > Provision for other assets,Provision for other assets,14.5,"(4,800,000,000)","(4,800,000,000)",145.0,,
TOTAL ASSETS,TOTAL ASSETS,TOTAL ASSETS,,"280,712,371,670,087","240,114,274,727,459",,,
