row_label_raw,row_label_full,Related parties,Transactions,Ending balance VND,Beginning balance VND,numeric__Transactions,numeric__Ending balance VND,numeric__Beginning balance VND
"Board of Directors, Board of Supervision Management and Chief Accountant","Board of Directors, Board of Supervision Management and Chief Accountant","Board of Directors, Board of Supervision Management and Chief Accountant",Remuneration and allowances (i),"71,386,920,540","57,532,419,373",,,
"Board of Directors, Board of Supervision Management and Chief Accountant","Board of Directors, Board of Supervision Management and Chief Accountant","Board of Directors, Board of Supervision Management and Chief Accountant",Interest expenses on deposits,"(1,885,403,956)","(5,105,641,352)",,,
