row_label_raw,row_label_full,col_0,31 December 2024,31 December 2023,numeric__31 December 2024,numeric__31 December 2023
"Borrowings through discount, rediscount valuable papers","Borrowings through discount, rediscount valuable papers","Borrowings through discount, rediscount valuable papers",14 days,-,,
Borrowings under credit documents,Borrowings under credit documents,Borrowings under credit documents,7 years,5.8 years,,
