row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Profit before tax,Profit before tax,Profit before tax,"4,006,295,939,181","4,139,476,155,259",,
Adjustments to consolidate the financial statement,Adjustments to consolidate the financial statement,Adjustments to consolidate the financial statement,"1,072,015,796","185,300,034",,
Accounting profit before tax before adjustments for consolidation of financial statement,Accounting profit before tax before adjustments for consolidation of financial statement,Accounting profit before tax before adjustments for consolidation of financial statement,"4,007,367,954,977","4,139,661,455,293",,
Increase:,Increase:,Increase:,,,,
- Non-deductible expenses,- Non-deductible expenses,- Non-deductible expenses,"121,346,681,075","39,231,518,638",,
- Revenue excluding tax,- Revenue excluding tax,- Revenue excluding tax,"(1,072,015,796)",-,,
- Other adjustments,- Other adjustments,- Other adjustments,-,"(5,609,360)",,
Estimated taxable income for the year,Estimated taxable income for the year,Estimated taxable income for the year,"4,127,642,620,256","4,178,887,364,571",,
Estimated income tax expenses at prevailing tax rate,Estimated income tax expenses at prevailing tax rate,Estimated income tax expenses at prevailing tax rate,"825,528,524,051","835,777,472,914",,
Unused subsidiary company's tax loss carryforwards,Unused subsidiary company's tax loss carryforwards,Unused subsidiary company's tax loss carryforwards,-,"(9,099,678)",,
Supplementary tax for previous years,Supplementary tax for previous years,Supplementary tax for previous years,"7,344,188,362","405,081,407",,
Income tax expense for the year,Income tax expense for the year,Income tax expense for the year,"832,872,712,413","836,173,454,643",,
