row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng - gộp VND,Tiền ký quỹ VND,Giá trị theo hợp đồng - thuần VND,numeric__Giá trị theo hợp đồng - gộp VND,numeric__Tiền ký quỹ VND,numeric__Giá trị theo hợp đồng - thuần VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,28.212.000.000,260.764.721,27.951.235.279,28212000000.0,260764721.0,27951235279.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,158.389.419.615.570,-,158.389.419.615.570,158389419615570.0,,158389419615570.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,296.243.446.052,-,296.243.446.052,296243446052.0,,296243446052.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,296.226.105.852,-,296.226.105.852,296226105852.0,,296226105852.0
Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,157.796.950.063.666,-,157.796.950.063.666,157796950063666.0,,157796950063666.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,1.291.666.414.821,6.201.674.071,1.285.464.740.750,1291666414821.0,6201674071.0,1285464740750.0
Cam kết đã được ngân hàng tài trợ thanh toán,Cam kết đã được ngân hàng tài trợ thanh toán,Cam kết đã được ngân hàng tài trợ thanh toán,412.224.072.395,-,412.224.072.395,412224072395.0,,412224072395.0
Cam kết chưa thực hiện,Cam kết chưa thực hiện,Cam kết chưa thực hiện,879.442.342.426,6.201.674.071,873.240.668.355,879442342426.0,6201674071.0,873240668355.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,6.802.538.170.024,287.125.717.552,6.515.412.452.472,6802538170024.0,287125717552.0,6515412452472.0
,,,166.511.836.200.415,293.588.156.344,166.218.248.044.071,166511836200415.0,293588156344.0,166218248044071.0
