row_label_raw,row_label_full,col_0,31 December 2024,31 December 2024_1,31 December 2024_2,numeric__31 December 2024,numeric__31 December 2024_1,numeric__31 December 2024_2
,,,Contract value- grossVND,Margin depositsVND,Contract value- netVND,,,
Credit guarantees,Credit guarantees,Credit guarantees,"97,792,000,000","8,546,731,158","89,245,268,842",,,
Foreign exchange commitments,Foreign exchange commitments,Foreign exchange commitments,"138,719,544,097,903",-,"138,719,544,097,903",,,
Spot foreign exchange commitments - buy,Spot foreign exchange commitments - buy,Spot foreign exchange commitments - buy,"662,365,672,412",-,"662,365,672,412",,,
Spot foreign exchange commitments - sell,Spot foreign exchange commitments - sell,Spot foreign exchange commitments - sell,"663,446,975,491",-,"663,446,975,491",,,
Swap contracts,Swap contracts,Swap contracts,"137,393,731,450,000",-,"137,393,731,450,000",,,
Letters of credit,Letters of credit,Letters of credit,"674,721,445,313","5,387,221,401","669,334,223,912",,,
Commitments financed by other banks,Commitments financed by other banks,Commitments financed by other banks,"132,601,505,410",-,"132,601,505,410",,,
Unsettled commitments,Unsettled commitments,Unsettled commitments,"542,119,939,903","5,387,221,401","536,732,718,502",,,
Other guarantees,Other guarantees,Other guarantees,"6,543,873,719,523","382,710,699,264","6,161,163,020,259",,,
Other commitments,Other commitments,Other commitments,"2,498,925,000,000",-,"2,498,925,000,000",,,
Total,Total,Total,"148,534,856,262,739","396,644,651,823","148,138,211,610,916",,,
