row_label_raw,row_label_full,col_0,Notes,Current year VND,Previous year VND,numeric__Notes,numeric__Current year VND,numeric__Previous year VND
Interest and similar income,Interest and similar income,Interest and similar income,25,"17,954,213,013,236","18,126,740,691,299",25.0,,
Interest and similar expenses,Interest and similar expenses,Interest and similar expenses,26,"(9,347,544,341,743)","(11,361,222,432,425)",26.0,,
Net interest and similar income,Net interest and similar income,Net interest and similar income,,"8,606,668,671,493","6,765,518,258,874",,,
Fee and commission income,Fee and commission income,Fee and commission income,,"1,073,464,718,082","997,503,692,240",,,
Fee and commission expenses,Fee and commission expenses,Fee and commission expenses,,"(142,483,258,293)","(115,440,748,295)",,,
Net fee and commission income,Fee and commission expenses > Net fee and commission income,Net fee and commission income,27,"930,981,459,789","882,062,943,945",27.0,,
Net gain from trading of foreign currencies,Fee and commission expenses > Net gain from trading of foreign currencies,Net gain from trading of foreign currencies,28,"310,954,000,786","389,064,968,099",28.0,,
Net gain from securities held for trading,Fee and commission expenses > Net gain from securities held for trading,Net gain from securities held for trading,29,"2,250,030,000","1,496,347,500",29.0,,
Net (loss)/gain from investment securities,Fee and commission expenses > Net (loss)/gain from investment securities,Net (loss)/gain from investment securities,30,"(188,421,795,033)","646,561,649,571",30.0,,
Other operating income,Other operating income,Other operating income,,"1,021,970,746,505","1,499,975,125,029",,,
Other operating expenses,Other operating expenses,Other operating expenses,,"(615,320,201,422)","(1,246,552,733,976)",,,
Net gain from other operating activities,Other operating expenses > Net gain from other operating activities,Net gain from other operating activities,31,"406,650,545,083","253,422,391,053",31.0,,
TOTAL OPERATING INCOME,TOTAL OPERATING INCOME,TOTAL OPERATING INCOME,,"10,069,082,912,118","8,938,126,559,042",,,
OPERATING EXPENSES,TOTAL OPERATING INCOME > OPERATING EXPENSES,OPERATING EXPENSES,32,"(3,803,760,652,156)","(3,171,425,038,560)",32.0,,
Net profit before provision for credit losses,Net profit before provision for credit losses,Net profit before provision for credit losses,,"6,265,322,259,962","5,766,701,520,482",,,
Provision expense for credit losses,Provision expense for credit losses,Provision expense for credit losses,,"(2,259,026,320,781)","(1,627,225,365,223)",,,
PROFIT BEFORE TAX,PROFIT BEFORE TAX,PROFIT BEFORE TAX,,"4,006,295,939,181","4,139,476,155,259",,,
Current corporate income tax expense,PROFIT BEFORE TAX > Current corporate income tax expense,Current corporate income tax expense,33,"(832,872,712,413)","(836,173,454,643)",33.0,,
Corporate income tax expense,Corporate income tax expense,Corporate income tax expense,,"(832,872,712,413)","(836,173,454,643)",,,
PROFIT AFTER TAX,PROFIT AFTER TAX,PROFIT AFTER TAX,,"3,173,423,226,768","3,303,302,700,616",,,
Basic earnings per share (VND/share),PROFIT AFTER TAX > Basic earnings per share (VND/share),Basic earnings per share (VND/share),24,"1,277","1,324",24.0,1.277,1.324
