row_label_raw,row_label_full,col_0,Assumed level of increase,Effects on net interest and similar income VND,numeric__Assumed level of increase,numeric__Effects on net interest and similar income VND
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,,
VND,As at 31 December 2024 > VND,VND,0.20%,"(22,101,928,454)",0.2,
VND,As at 31 December 2024 > VND,VND,-0.20%,"22,101,928,454",-0.2,
USD,As at 31 December 2024 > USD,USD,0.20%,"2,459,292,765",0.2,
USD,As at 31 December 2024 > USD,USD,-0.20%,"(2,459,292,765)",-0.2,
