row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2019 Triệu VND,31/12/2018 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2019 Triệu VND,numeric__31/12/2018 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng",4,2.630.283,2.356.198,,4.0,2630283.0,2356198.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,5.737.641,6.412.125,,5.0,5737641.0,6412125.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,25.857.597,19.050.864,,6.0,25857597.0,19050864.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,25.857.588,18.750.212,,,25857588.0,18750212.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,9,300.652,,,9.0,300652.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,7,207.803,-,,7.0,207803.0,
VI,A > VI,VI,Cho vay khách hàng,,112.181.970,102.971.210,,,112181970.0,102971210.0
1,A > 1,1,Cho vay khách hàng,8,113.254.792,104.042.577,,8.0,113254792.0,104042577.0
3,A > 3,3,Dự phòng rủi ro cho vay khách hàng,9,(1.072.822),(1.071.367),,9.0,-1072822.0,-1071367.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,14.540.461,14.901.977,,10.0,14540461.0,14901977.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,8.866.350,10.410.322,,,8866350.0,10410322.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,8.017.640,6.762.998,,,8017640.0,6762998.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(2.343.529),(2.271.343),,,-2343529.0,-2271343.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,-,13.720,,11.0,,13720.0
4,A > 4,4,Đầu tư dài hạn khác,,-,110.566,,,,110566.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,-,(96.846),,,,-96846.0
X,A > X,X,Tài sản cố định,,3.444.021,3.558.890,,,3444021.0,3558890.0
1,A > 1,1,Tài sản cố định hữu hình,12,804.140,870.161,,12.0,804140.0,870161.0
a,A > a,a,Nguyên giá,,2.075.948,2.138.433,,,2075948.0,2138433.0
b,A > b,b,Giá trị hao mòn lũy kế,,(1.271.808),(1.268.272),,,-1271808.0,-1268272.0
3,A > 3,3,Tài sản cố định vô hình,13,2.639.881,2.688.729,,13.0,2639881.0,2688729.0
a,A > a,a,Nguyên giá,,2.823.946,2.832.911,,,2823946.0,2832911.0
b,A > b,b,Giá trị hao mòn lũy kế,,(184.065),(144.182),,,-184065.0,-144182.0
XII,A > XII,XII,Tài sản Có khác,14,2.938.542,3.387.079,,14.0,2938542.0,3387079.0
1,A > 1,1,Các khoản phải thu,,1.353.548,1.367.550,,,1353548.0,1367550.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,1.195.201,1.188.031,,,1195201.0,1188031.0
4,A > 4,4,Tài sản Có khác,,812.772,1.139.136,,,812772.0,1139136.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(422.979),(307.638),,,-422979.0,-307638.0
,,,TỔNG TÀI SẢN,,167.538.318,152.652.063,,,167538318.0,152652063.0
