row_label_raw,row_label_full,col_0,Khu vực Miền Bắc Triệu VND,Khu vực Miền Trung Triệu VND,Khu vực Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__Khu vực Miền Bắc Triệu VND,numeric__Khu vực Miền Trung Triệu VND,numeric__Khu vực Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,
1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,I. Doanh thu > 1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,1.288.725,1.472.991,8.544.040,-,11.305.756,1288725.0,1472991.0,8544040.0,,11305756.0
Doanh thu lãi nội bộ,I. Doanh thu > Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,1.883.875,705.060,15.470.648,(18.059.583),-,1883875.0,705060.0,15470648.0,-18059583.0,
2. Thu nhập từ hoạt động dịch vụ,I. Doanh thu > 2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,78.916,43.535,689.100,-,811.551,78916.0,43535.0,689100.0,,811551.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,65.896,20.854,1.158.299,-,1.245.049,65896.0,20854.0,1158299.0,,1245049.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,
1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,II. Chi phí > 1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,(1.543.670),(587.512),(5.954.208),-,(8.085.390),-1543670.0,-587512.0,-5954208.0,,-8085390.0
Chi phí lãi nội bộ,II. Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(1.157.240),(1.214.611),(15.687.732),18.059.583,-,-1157240.0,-1214611.0,-15687732.0,18059583.0,
2. Chi phí khấu hao tài sản cố định,II. Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(20.970),(14.167),(124.265),-,(159.402),-20970.0,-14167.0,-124265.0,,-159402.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,II. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(368.752),(217.839),(2.745.433),-,(3.332.024),-368752.0,-217839.0,-2745433.0,,-3332024.0
Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,II. Chi phí > Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,226.780,208.311,1.350.449,-,1.785.540,226780.0,208311.0,1350449.0,,1785540.0
Chi phí dự phòng rủi ro,II. Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(243.688),(28.041),(418.562),-,(690.291),-243688.0,-28041.0,-418562.0,,-690291.0
Kết quả hoạt động kinh doanh bộ phận trước thuế TNDN,II. Chi phí > Kết quả hoạt động kinh doanh bộ phận trước thuế TNDN,Kết quả hoạt động kinh doanh bộ phận trước thuế TNDN,(16.908),180.270,931.887,-,1.095.249,-16908.0,180270.0,931887.0,,1095249.0
