row_label_raw,row_label_full,2019,Số dư đầu năm > Nộp thừaTriệu VND,Số dư đầu năm > Phải trảTriệu VND,Số dư đầu năm > Số phát sinhTriệu VND,Số dư đầu năm > Số đã cán trừTriệu VND,Số dư đầu năm > Số đã nộpTriệu VND,Số dư cuối năm > Nộp thừaTriệu VND,Số dư cuối năm > Phải trảTriệu VND,numeric__Số dư đầu năm > Nộp thừaTriệu VND,numeric__Số dư đầu năm > Phải trảTriệu VND,numeric__Số dư đầu năm > Số phát sinhTriệu VND,numeric__Số dư đầu năm > Số đã cán trừTriệu VND,numeric__Số dư đầu năm > Số đã nộpTriệu VND,numeric__Số dư cuối năm > Nộp thừaTriệu VND,numeric__Số dư cuối năm > Phải trảTriệu VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(65.284),1.874,229.117,-,(171.931),(6.343),119,-65284.0,1874.0,229117.0,,-171931.0,-6343.0,119.0
Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,-,10.245,100.248,(380),(94.897),-,15.216,,10245.0,100248.0,-380.0,-94897.0,,15216.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,16.520,92.080,-,(91.472),-,17.128,,16520.0,92080.0,,-91472.0,,17128.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,-,14.930,-,(14.930),-,-,,,14930.0,,-14930.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,7.228,-,(7.228),-,-,,,7228.0,,-7228.0,,
,,,(65.284),28.639,443.603,(380),(380.458),(6.343),32.463,-65284.0,28639.0,443603.0,-380.0,-380458.0,-6343.0,32463.0
2018,2018,2018,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư cuối năm,Số dư cuối năm,,,,,,,
2018,2018,2018,Phải trảTriệu VND,Số phát sinhTriệu VND,Số đã cán trừTriệu VND,Số đã nộpTriệu VND,Nộp thừaTriệu VND,Phải trảTriệu VND,,,,,,,,
Thuế thu nhập doanh nghiệp,2018 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,111.599,166.538,-,(341.547),(65.284),1.874,,111599.0,166538.0,,-341547.0,-65284.0,1874.0,
Thuế giá trị gia tăng phải trả,2018 > Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,10.284,74.869,(287),(74.621),-,10.245,,10284.0,74869.0,-287.0,-74621.0,,10245.0,
Thuế thu nhập cá nhân,2018 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.233,77.436,-,(69.149),-,16.520,,8233.0,77436.0,,-69149.0,,16520.0,
Thuế nhà thầu nước ngoài,2018 > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,14.320,-,(14.320),-,-,,,14320.0,,-14320.0,,,
Các loại thuế khác,2018 > Các loại thuế khác,Các loại thuế khác,-,5.822,-,(5.822),-,-,,,5822.0,,-5822.0,,,
,,,130.116,338.985,(287),(505.459),(65.284),28.639,,130116.0,338985.0,-287.0,-505459.0,-65284.0,28639.0,
