row_label_raw,row_label_full,Được phân loại là tài sản tài chính được xác định theo giá trị hợp lý thông qua báo cáo kết quả hoạt động kinh doanh: Các công cụ tài chính phải sinh và các tài sản tài chính khác > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn:- Trái phiếu chính phủ/Tín phiếu Ngân hàng Nhà nước không có giá niêm yết > - Chứng khoán đầu tư giữ đến ngày đáo hạn khác,31/12/2019 > Giá trị ghi số Triệu VND > 207.803 > 2.108.512 > 3.729.814,31/12/2019 > Giá trị hợp lý Triệu VND > (*),31/12/2018 > Giá trị ghi số Triệu VND > - > 200.612 > 4.426.291,31/12/2018 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2019 > Giá trị ghi số Triệu VND > 207.803 > 2.108.512 > 3.729.814,numeric__31/12/2019 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2018 > Giá trị ghi số Triệu VND > - > 200.612 > 4.426.291,numeric__31/12/2018 > Giá trị hợp lý Triệu VND > (*)
"Được phân loại là các khoản cho vay và phải thu:- Tiền mặt, vàng","Được phân loại là các khoản cho vay và phải thu:- Tiền mặt, vàng","Được phân loại là các khoản cho vay và phải thu:- Tiền mặt, vàng",2.630.283,2.630.283,2.356.198,2.356.198,2630283.0,2630283.0,2356198.0,2356198.0
- Tiền gửi tại Ngân hàng Nhà nước Việt Nam,- Tiền gửi tại Ngân hàng Nhà nước Việt Nam,- Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5.737.641,5.737.641,6.412.125,6.412.125,5737641.0,5737641.0,6412125.0,6412125.0
- Tiền gửi và cho vay các tổ chức tín dụng khác,- Tiền gửi và cho vay các tổ chức tín dụng khác,- Tiền gửi và cho vay các tổ chức tín dụng khác,25.857.597,(*),19.050.864,(*),25857597.0,,19050864.0,
- Cho vay khách hàng,- Cho vay khách hàng,- Cho vay khách hàng,112.181.970,(*),102.971.210,(*),112181970.0,,102971210.0,
- Các khoản phải thu,- Các khoản phải thu,- Các khoản phải thu,493.347,(*),535.103,(*),493347.0,,535103.0,
"- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",1.195.201,(*),1.188.031,(*),1195201.0,,1188031.0,
Được phân loại là tài sản tài chính sẵn sàng để bán:- Trái phiếu Chính phủ có giá niêm yết,Được phân loại là tài sản tài chính sẵn sàng để bán:- Trái phiếu Chính phủ có giá niêm yết,Được phân loại là tài sản tài chính sẵn sàng để bán:- Trái phiếu Chính phủ có giá niêm yết,906.086,921.495,1.376.756,1.377.239,906086.0,921495.0,1376756.0,1377239.0
- Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,20.158,21.651,40.692,40.692,20158.0,21651.0,40692.0,40692.0
- Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,50.401,(*),-,(*),50401.0,,,
- Trái phiếu Chính phủ không có giá niêm yết,- Trái phiếu Chính phủ không có giá niêm yết,- Trái phiếu Chính phủ không có giá niêm yết,5.150.873,(*),8.857.626,(*),5150873.0,,8857626.0,
- Trái phiếu do các tổ chức trong nước phát hành không có giá niêm yết,- Trái phiếu do các tổ chức trong nước phát hành không có giá niêm yết,- Trái phiếu do các tổ chức trong nước phát hành không có giá niêm yết,2.574.617,(*),-,(*),2574617.0,,,
